title,creator,date,subject,description,category,section,publisher,source,identifier,language,rights,rightsstatement,type,format,original_link,verso_permalink
Adapting the Women’s empowerment in nutrition index: Lessons from Kenya,"Lentz, Erin; Jensen, Nathan; Lepariyo, Watson; Narayanan, Sudha; Bageant, Elizabeth",2024-12-09,,"Women face a disproportionate burden of malnutrition and food insecurity. Research has shown that women’s empowerment can buffer women against nutritional problems. This paper contributes to ongoing efforts to measure women’s empowerment that are both context-sensitive and universal, focusing on the recently developed Women’s Empowerment in Nutrition Index (WENI). Earlier research has shown it is both a valid construct and positively related to dietary and nutritional outcomes of women in South Asia. We establish that WENI is generalizable to agropastoral and pastoral Kenya, an area with substantially different livelihoods, food system, norms, and institutions than South Asia. We find that a locally contextualized WENI is strongly associated with women’s body mass index and dietary diversity as well as household level food insecurity. We also present findings for two shorter variations of WENI: an abbreviated WENI (A-WENI) and a cross context WENI (CC-WENI). A-WENI contains a small subset of WENI indicators identified using machine learning with South Asian data and therefore is context-specific. CC-WENI does not contain indicators specific to the validation context. We find that they perform comparably well with caveats. Thus, as use of WENI expands we recommend adapting WENI for in-depth analyses of women’s nu",Research Reports,,Elsevier Ltd,Elsevier Ltd,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,,,https://verso.uidaho.edu/esploro/outputs/996756949401851
WENI Empowerment Metric Validation and Comparison Survey,"Jensen, Nathan; Lepariyo, Watson; Narayanan, Sudha; Bageant, Elizabeth; Lentz, Erin",2024-11-12,Agricultural and Resource Economics; Social and Behavioral Sciences,"The manuscript titled “Women’s Empowerment in Nutrition Index: Lessons from Kenya” uses data collected and documented as The Empowerment Metric Validation and Comparison (EMVC) survey was collected in Samburu County, Kenya in February and March 2022. The code file (.do) uses the date file (.dta) to run the analysis described in the manuscript ""Adapting the Women’s Empowerment in Nutrition Index: Lessons from Kenya”",Research Reports,,OSF,OSF,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,,,https://verso.uidaho.edu/esploro/outputs/996755341601851
How do women’s empowerment metrics measure up? A comparative analysis,"Bageant, Elizabeth; Lentz, Erin; Narayanan, Sudha; Jensen, Nathan; Lepariyo, Watson",2024-11,,"Research has identified women’s empowerment as a critical factor for nutritional outcomes and a priority area for understanding women’s mental health status. At the same time, there is no consensus on how empowerment should be measured. The surrounding debate has produced several empowerment metrics that are widely used, yet we know little about whether they can be substituted for one another or their respective strengths and weaknesses. Using data collected from a single sample of women from rural, northern Kenya, we compare five empowerment metrics: The Project-level Women’s Empowerment in Agriculture Index (pro-WEAI) and associated Health and Nutrition Module (HN), Women’s Empowerment in Nutrition Index (WENI), Women’s Empowerment in Livestock Index (WELI), and the Survey Based Women’s Empowerment Index (SWPER). The metrics have shared theoretical origins and are commonly used in the food, nutrition and health spaces to study rural women’s lives across low- and middle-income countries. We examine the metrics’ characteristics, distributions, pairwise correlations and capacity of each metric to predict outcomes often associated with the concept of empowerment: body mass index (BMI) and the Center for Epidemiologic Studies Depression Scale (CES-D). We find striking differences between these common empowerment me",Research Reports,,Elsevier Ltd,"Food Policy, 129, 102764",DOI: 10.5751/ES-11053-240318,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,,,https://verso.uidaho.edu/esploro/outputs/996749734601851
IDAHO AT A GLANCE: Refugees in Idaho,"Ortiz, Tiana; Callahan, Crystal; Bageant, Liz",2024-10,,"A refugee is someone who has fled their home country and is unable to return due to “persecution or a well-founded fear of persecution on account of race, religion, nationality, membership in a particular social group, or political opinion”1. The United States Refugee Resettlement Act (1980) created a permanent process for the U.S. to admit and support refugees, which is implemented in partnership with the United Nations High Commissioner for Refugees (UNHCR).2 The U.S. permanently resettles refugees in all states, including Idaho.2,3",Idaho at a Glance Policy Briefs,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",2,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13322978200001851&download=true,https://verso.uidaho.edu/esploro/outputs/996738449401851
August 2024 Newsletter,"Himes, Katherine",2024-08,,,Newsletter,,James A. & Louise McClure Center for Public Policy Research,James A. & Louise McClure Center for Public Policy Research,DOI: 10.3389/fsufs.2022.987924,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13323248720001851&download=true,https://verso.uidaho.edu/esploro/outputs/996740249901851
Commercially traded fish portfolios mask household utilization of biodiversity in wild food systems,"Fiorella, Kathryn J; Bageant, Elizabeth R; Thilsted, Shakuntala H; Heilpern, Sebastian A",2024-07-23,,"The global biodiversity that underpins wild food systems-including fisheries-is rapidly declining. Yet, we often have only a limited understanding of how households use and benefit from biodiversity in the ecosystems surrounding them. Explicating these relationships is critical to forestall and mitigate the effects of biodiversity declines on food and nutrition security. Here, we quantify how biodiversity filters from ecosystems to household harvest, consumption, and sale, and how ecological traits and household characteristics shape these relationships. We used a unique, integrated ecological (40 sites, quarterly data collection) and household survey (n = 414, every 2 mo data collection) dataset collected over 3 y in rice field fisheries surrounding Cambodia's Tonlé Sap, one of Earth's most productive and diverse freshwater systems. While ecosystem biodiversity was positively associated with household catch, consumption, and sold biodiversity, households consumed an average of 43% of the species present in the ecosystem and sold only 9%. Larger, less nutritious, and more common species were disproportionally represented in portfolios of commercially traded species, while consumed species mirrored catches. The relationship between ecosystem and consumed biodiversity was remarkably consistent across variation in",Research Reports,,,"Proceedings of the National Academy of Sciences - PNAS, 121, 30, e2403691121",,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,,,https://verso.uidaho.edu/esploro/outputs/996692349601851
IDAHO AT A GLANCE: Unauthorized Immigrants and Idaho’s Economy,"Bageant, Liz",2024-06,,"Unauthorized immigrants contribute to Idaho’s economy through their work in industries such as agriculture, services and construction, as well as through their everyday spending. Unauthorized immigrants pay taxes and are ineligible for most taxpayer-funded programs.",Idaho at a Glance Policy Briefs,,"James A. & Louise McClure Center for Public Policy Research, University of Idaho",1,DOI: 10.17605/osf.io/rxzm5,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13322978250001851&download=true,https://verso.uidaho.edu/esploro/outputs/996738449501851
March 2024 Newsletter,"Himes, Katherine",2024-03,,,Newsletter,,James A. & Louise McClure Center for Public Policy Research,James A. & Louise McClure Center for Public Policy Research,DOI: 10.1126/sciadv.abc7425,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13323248670001851&download=true,https://verso.uidaho.edu/esploro/outputs/996740249801851
The Unauthorized Immigrant Workforce and Idaho's Economy,"Bageant, Liz; Callahan, Crystal; Himes, Katherine",2024-02-19,Agricultural Economics; Cost Benefit Analysis; Unauthorized Immigrants,"This report describes Idaho’s unauthorized workforce and how their work, spending and taxes relate to Idaho’s economy.  The University of Idaho James A. and Louise McClure Center for Public Policy Research examined existing data and research on unauthorized immigrants, both nationally and in Idaho. The most recent data on the number of unauthorized immigrants in the United States and Idaho are from 2021, with more detailed data only available for earlier years.1  This report summarizes conclusions from existing data and does not update estimates or collect new quantitative data. It integrates perspectives and up-to-date information on Idaho’s unauthorized workforce from Idaho professionals in agriculture, dairy and hospitality industries.  The McClure Center conducts independent, evidence-based research. Publications contain no policy recommendations.",Research Reports,,,James A. & Louise McClure Center for Public Policy Research,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,https://verso.uidaho.edu/view/pdfCoverPage?instCode=01ALLIANCE_UID&filePid=13322978300001851&download=true,https://verso.uidaho.edu/esploro/outputs/996738449601851
"P02-016-23 Food System Biodiversity: Pathways From Ecosystems To Harvest, Consumption, and Sale","Fiorella, Katie; Heilpern, Sebastian; Bageant, Elizabeth R",2023-07,,,Research Reports,,Elsevier Inc,"Current developments in nutrition, 7",,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,,,https://verso.uidaho.edu/esploro/outputs/996660148001851
