objectid,title,author,reader,creator type,date,subject,description,location,lat long,grade-level,identifier,format,digital specifications,language,rights,standardized rights,type,contributing institution,date created,date modified,reference url,cdmid,soundid,soundlink,contentdm file name,contentdm file path
guidedread282,A Nicaraguan Celebration,Anaheli Stegner,Adrienne Vitullo,Student,2017,Nicaragua; Griteria,informational text about Griteria,,,third,Nicaragua,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/282,282,895,289.mp3,316.cpd,/guidedread/supp/282/index.pdf
guidedread895,A Nicaraguan Celebration,Anaheli Stegner,Adrienne Vitullo,Student,2017,Nicaragua; Griteria,informational text about Griteria,,,third,Nicaragua,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/895,895,,,289.mp3,/guidedread/image/289.mp3
guidedread298,Abraham Lincoln,Emily Stephens,none,Student,2017,presidents; America,informational text about Abraham Lincoln,,,second,Abraham_Lincoln,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/298,298,nullo,,332.cpd,/guidedread/supp/298/index.pdf
guidedread316,All About Rabbits,Tiffany Mayes,Adrienne Vitullo,Student,2017,rabbits; hares; mammals,informational text about rabbits,,,first,Rabbits,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/316,316,892,286.mp3,350.cpd,/guidedread/supp/316/index.pdf
guidedread892,All About Rabbits,Tiffany Mayes,Adrienne Vitullo,Student,2017,rabbits; hares; mammals,informational text about rabbits,,,first,Rabbits,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/892,892,,,286.mp3,/guidedread/image/286.mp3
guidedread145,Amphibians,"Aune, Chantel",none,Teacher,2014,amphibians,First-grade level informational text about amphibians,,,First,Amphibians,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2014-11-11,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/145,145,nullo,,146.pdf,/guidedread/image/146.pdf
guidedread205,Beavers,"Babin, Acadia",Adrienne Vitullo,Teacher,2016,Beavers; habitat; wildlife; North America,informational text about beavers,,,third,Beaver,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/205,205,204,205.mp3,206.pdf,/guidedread/image/206.pdf
guidedread204,Beavers (Audio),"Babin, Acadia",Adrienne Vitullo,Teacher,2016,Beavers; habitat; wildlife; North America,informational text about beavers,,,third,Beaver,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/204,204,,,205.mp3,/guidedread/image/205.mp3
guidedread334,Bottlenose Dolphins,Courtney Wood,Adrienne Vitullo,Student,2017,dolphins,informational text about bottlenose dolphins,,,first,Dolphins,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/334,334,879,273.mp3,368.cpd,/guidedread/supp/334/index.pdf
guidedread879,Bottlenose Dolphins,Courtney Wood,Adrienne Vitullo,Student,2017,dolphins,informational text about bottlenose dolphins,,,first,Dolphins,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/879,879,,,273.mp3,/guidedread/image/273.mp3
guidedread352,Chia Seeds,Madison Mayo,Adrienne Vitullo,Student,2017,chia seeds; nutrition,informational text about chia seeds,,,fourth,ChiaSeeds,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/352,352,876,270.mp3,386.cpd,/guidedread/supp/352/index.pdf
guidedread876,Chia Seeds,Madison Mayo,Adrienne Vitullo,Student,2017,chia seeds; nutrition,informational text about chia seeds,,,fourth,ChiaSeeds,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/876,876,,,270.mp3,/guidedread/image/270.mp3
guidedread371,Chinese Dragon Boat Festival,Manjuan He,Adrienne Vitullo,Student,2017,Chinese; tradition; dragon boat,informational text about the Chinese Dragon Boat Festival,,,second,Chinese_Dragon_Boat_Festival,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2018-05-30,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/371,371,889,283.mp3,405.cpd,/guidedread/supp/371/index.pdf
guidedread889,Chinese Dragon Boat Festival,Manjuan He,Adrienne Vitullo,Student,2017,Chinese; tradition; dragon boat,informational text about the Chinese Dragon Boat Festival,,,second,Chinese_Dragon_Boat_Festival,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2018-02-26,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/889,889,,,283.mp3,/guidedread/image/283.mp3
guidedread157,Clouds,"Bain, Crystal",Isla Rosewood,Teacher,2014,,First grade level informational text about clouds.,,,First,Clouds,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/157,157,198,199.mp3,158.pdf,/guidedread/image/158.pdf
guidedread198,Clouds (Audio),"Bain, Crystal",Isla Rosewood,Teacher,2014,,Audio recording of a  First grade level informational text about clouds.,,,First,Clouds,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/198,198,,,199.mp3,/guidedread/image/199.mp3
guidedread254,Coffee,"Cowperthwaite, Molly",none,Teacher,2016,,informational text about coffee,,,,Coffee,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/254,254,nullo,,255.pdf,/guidedread/image/255.pdf
guidedread206,Constellations,"Day, Sheriden",Adrienne Vitullo,Teacher,2016,Constellations; stars; mythology,informational text about constellations,,,first,Constellations,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/206,206,208,209.mp3,207.pdf,/guidedread/image/207.pdf
guidedread208,Constellations (Audio),"Day, Sheriden",Adrienne Vitullo,Teacher,2016,Constellations; stars; mythology,informational text about constellations,,,first,Constellations,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Sound,University of Idaho,2016-09-22,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/208,208,,,209.mp3,/guidedread/image/209.mp3
guidedread147,Coyotes,"Philips, Laura",Ilsa Rosewood,Teacher,2014,coyotes,Third -grade level informational text about coyotes,,,Third,coyotes,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2014-11-11,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/147,147,143,144.mp3,148.pdf,/guidedread/image/148.pdf
guidedread143,Coyotes (Audio),"Philips, Laura",Ilsa Rosewood,Teacher,2014,,"Reading of Coyotes, a third-grade level informational text about coyotes",,,Third,coyotes,audio/mp3,Born Digital,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2014-10-08,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/143,143,,,144.mp3,/guidedread/image/144.mp3
guidedread159,Cuisine of Costa Rica,"Coulthard, Jessica",Isla Rosewood,Teacher,2014,,Fifth grade level informational text about Costa Rica.,,,Fifth,CostaRica,application/pdf,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/159,159,196,197.mp3,160.pdf,/guidedread/image/160.pdf
guidedread196,Cuisine of Costa Rica (Audio),"Coulthard, Jessica",Isla Rosewood,Teacher,2014,,Audio recording of a Fifth grade level informational text about Costa Rica.,,,Fifth,CostaRica,audio/mp3,Born Digital Publication,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,sound,University of Idaho,2015-02-23,2018-05-30,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/196,196,,,197.mp3,/guidedread/image/197.mp3
