title,creator,description,date,date_approximate,subject,source,publisher,identifier,format,type,rights,rightsstatement,language,digital_specifications,date_digital,location,latitude,longitude,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Proceedings of Forest Fire Conference: Western Forestry and Conservation Association,The Forest Protective Organizations of the Pacific Coast,This publication provides great insight into northwestern forestry issues of the time.  Many reports focus primarily on the need for fire control and suppression.,1911-12-04,,forestry; conferences; fire prevention; forest management;,Charles Odell Papers (MG88),The Timberman,Charles_Odell_Papers.pdf,application/pdf,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/36,36,forestryresearch36,pdf,forestryresearch36.pdf,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch36.pdf,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch36_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch36_th.jpg,
Worker Meeting,"Schofield, Phil","LtoR: Unidentified; Murphy, Tim; Callaway, Cookie; Unidentified; Longstreet, John (205 Pilot)",1974,,group portraits; fieldwork (research); helicopters; rangers (forest);,ID Dept of Lands,,ddt_spray_photos10,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/37,37,forestryresearch37,image,forestryresearch37.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch37.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch37_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch37_th.jpg,
Preparing for Takeoff,"Schofield, Phil",DDT Spray Project Douglas Fir Tussock Moth: Pilot Mike Wilton,1974,,portraits; helicopters;,ID Dept of Lands,,ddt_spray_photos2,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/38,38,forestryresearch38,image,forestryresearch38.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch38.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch38_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch38_th.jpg,
Aerial View of Tussock Moth Damage [1],,Tussock Moth Damage,1974-06-25,,aerial photographs; aerial views; forests (plant communities);,ID Dept of Lands,,ddt_spray_photos56,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/39,39,forestryresearch39,image,forestryresearch39.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch39.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch39_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch39_th.jpg,
Aerial View of Tussock Moth Damage [2],,Tussock Moth Damage,1974-06-25,,aerial photographs; aerial views; forests (plant communities);,ID Dept of Lands,,ddt_spray_photos57,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/40,40,forestryresearch40,image,forestryresearch40.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch40.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch40_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch40_th.jpg,
Observing,"Schofield, Phil",Bell 206 Observer Helicopter - Emory Hall - Owner/Pilot,1974,,forests (plant communities); helicopters;,ID Dept of Lands,,ddt_spray_photos6,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/41,41,forestryresearch41,image,forestryresearch41.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch41.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch41_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch41_th.jpg,
Brown's Meadow Heliport,"Schofield, Phil","Browns Meadow Heliport: LtoR: Gruler, Jack; Jenni, Don; Cox, Rayce",1974,,group portraits; helicopters; automobiles; rangers (forest);,ID Dept of Lands,,ddt_spray_photos7,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/42,42,forestryresearch42,image,forestryresearch42.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch42.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch42_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch42_th.jpg,
First Day of Spraying,"Schofield, Phil",Browns Meadow Heliport 1st Day of Spraying,1974,,scenery (landscape); forests (plant communities);,ID Dept of Lands,,ddt_spray_photos8,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/43,43,forestryresearch43,image,forestryresearch43.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch43.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch43_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch43_th.jpg,
Helicopter Observation,"Schofield, Phil",Emory Hall's 206-Bell Observation Helicopter,1974,,helicopters; forests (plant communities);,ID Dept of Lands,,ddt_spray_photos9,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/44,44,forestryresearch44,image,forestryresearch44.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch44.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch44_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch44_th.jpg,
Outdoor Planning with Map,U.S. Forest Service Photo,"Forest Service professionals working out plans to control the Tussock Moth infestation in northern, Idaho.",1965,yes,group portraits; automobiles; rangers (forest);,ID Dept of Lands,USDA Forest Service,FS_photo1,image/jpeg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forestryresearch/id/45,45,forestryresearch45,image,forestryresearch45.jpg,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch45.jpg,https://objects.lib.uidaho.edu/forestryresearch/small/forestryresearch45_sm.jpg,https://objects.lib.uidaho.edu/forestryresearch/thumbs/forestryresearch45_th.jpg,
