title,creator,description,date,date_is_approximate,subject-lcsh,subject,relation,contributing_institution,publisher_digital,digital_collection_website,source,identifier,publisher,format_original,type,format,digitization_specifications,rights,rightsstatement,language,date_digital,coverage,idaho_county,latitude,longitude,cdm_url,cdmid,objectid,timelinejs,display_template,filename,object_location,image_small,image_thumb,errors
Message from Senator Dworshak,"Curtis, Albert B. (Albert Bruce), 1903-1985",A message to Senator Dworshak urging for a partnership on the Bruces Eddy Bill.,1955-07-15,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Dworshak, Henry Clarence, 1894-1962;",senators; correspondence,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-013,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/1,1,dworshak1,true,pdf,dworshak1.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak1.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak1_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak1_th.jpg,
The Washington Water Power Company,"Robinson, K.M.","A letter from K.M. Robinson to Bert Curtis, discussing both the Penny Cliffs and Bruces Eddy projects.",1955-05-06,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",correspondence; penny cliffs; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-005,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/3,3,dworshak3,,pdf,dworshak3.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak3.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak3_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak3_th.jpg,
Letter to Major General Samuel D. Sturgis Jr.,"Curtis, Albert B. (Albert Bruce), 1903-1985","A Letter to Major General Samuel D. Sturgis, in which Burt Curtis discusses the proposed Bruces Eddy and Penny Cliffs Projects.",1955-03-10,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",correspondence; penny cliffs; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,"MG 147, Box 3, Folder 7a",03-7a-002,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/5,5,dworshak5,,pdf,dworshak5.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak5.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak5_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak5_th.jpg,
The Washington Water Power Company,"Robinson, K.M.","A letter from K.M. Robinson to Bert Curtis, discussing both the Penny Cliffs and Bruces Eddy projects.",1955-03-08,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",correspondence; penny cliffs; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-001,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/7,7,dworshak7,,pdf,dworshak7.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak7.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak7_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak7_th.jpg,
Typographical error,,A letter to Bert Curtis from the secretary of K.M. Robinson correcting an error,1955-05-11,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-006,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/9,9,dworshak9,,pdf,dworshak9.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak9.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak9_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak9_th.jpg,
The Washington Water Power Company,"Robinson, K.M.","A letter to K.M. Robinson from Bert Curtis, discussing General Sturgis",1955-04-29,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",correspondence; penny cliffs; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-004,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/11,11,dworshak11,,pdf,dworshak11.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak11.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak11_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak11_th.jpg,
Letter to Len Jordan,"Curtis, Albert B. (Albert Bruce), 1903-1985","A Letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.",1955-05-12,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Jordan, Len B. (Len Beck), 1899-1983;",correspondence; penny cliffs; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-008,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/13,13,dworshak13,,pdf,dworshak13.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak13.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak13_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak13_th.jpg,
The Washington Water Power Company,"Robinson, K.M.","A letter from K.M. Robinson to Bert Curtis, discussing the resolution for the Penny Cliffs and Bruces Eddy projects.",1955-05-12,,,correspondence; penny cliffs; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-007,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/15,15,dworshak15,,pdf,dworshak15.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak15.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak15_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak15_th.jpg,
Pacific Northwest Power Company,"Robinson, K.M.",A letter from K.M. Robinson to Bert Curtis explaining that the Trinity River Bill will not suit the power companies purposes regarding Bruces Eddy.,1956-01-03,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir;",correspondence; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-018,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/17,17,dworshak17,,pdf,dworshak17.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak17.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak17_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak17_th.jpg,
Letter to Len Jordan,"Curtis, Albert B. (Albert Bruce), 1903-1985","A Letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.",1955-06-02,,"Curtis, Bert, 1903-1985; Idaho -- Dworshak Reservoir; Jordan, Len B. (Len Beck), 1899-1983;",correspondence; penny cliffs; bruces eddy,MG 147,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",http://www.lib.uidaho.edu/digital/dworshak/,MG 147,03-7a-010,,correspondence files,Text,application/pdf,PDF displayed. Individual pages saved as 400 dpi TIFFs for archival purposes.,"Material produced by the United States Army Corp of Engineers and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2011,Dworshak Dam (Idaho),Clearwater County,,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/dworshak/id/19,19,dworshak19,,pdf,dworshak19.pdf,https://objects.lib.uidaho.edu/dworshak/dworshak19.pdf,https://objects.lib.uidaho.edu/dworshak/small/dworshak19_sm.jpg,https://objects.lib.uidaho.edu/dworshak/thumbs/dworshak19_th.jpg,
