objectid,title,title_alt,date,creator,description,subject,category,site,period_of_record,frequency,source,type,format,rights,rightsstatement,original_url,filename,display_template,object_location,image_small,image_thumb,notes
ng_001,Tree DBH and Height,Tree DBH and Height,,,"Tree numbers <200 indicate the main 30 m x 30 m measurement plots. Tree numbers of 500 or greater indicate the 10 m x 10 m buffer surrounding measurement plots 1, 2 and 3 (control plots).  Plots 1 through 3 are ambient controls .  Plots 4 through 6 receive simulated experimental N deposition of 3 g N m-2 y-1. 

Diameters at breast height (dbh) are measured annually during the dormant season following each year's growing season using steel diameter tapes at permanently marked locations on each tree of 5 cm dbh and greater.  Values of -0- for dbh indicate a tree that is smaller than the minimum diameter of 5 cm.

Tree vigor indicates whether a tree is dead  (0) or alive (1) at the end of the growing season.

Occasionally, individuals in multistem trees have grown together, preventing access to dbh marks.  In these cases, either new marks are located higher in the tree or the two trees are measured as one large tree.  In either case, a period of overlap for both marks occurred, and the records for new and old marks are adjacent to each other in the database, with numbers such as ""46"" and 46.2"" (new vs original marks), or ""567, 568, and 1567"" (two original trees and combined tree after multi-stems merged).

Heights were measured in 1987, 1992, 1998, and 2005 in feet using clinometers, from two directions per tree, approximately 180 degrees apart.  Heights for other years are estimated from the linear trends between measured years.  Heights are only measured for trees on the main 30 m x 30 m plot (tree numbers < 200)

Species codes are: American beech AB   American elm  AE   black cherry BC   bitternut hickory (Site D only) BH   basswood BW   eastern hemlock EH  sugar maple HM   ironwood IW   red maple RM   red   oak RO   aspen (bigtooth or quaking) TA   white ash WA   white pine  WP   yellow birch YB 

BBD in comments indicates first notice of Beech Bark Disease

Reference: KURT S . PREGITZER, ANDREW J. BURTON, DONALD R. ZAK and ALAN F. TALHELM (2008).Simulated chronic nitrogen deposition increases carbon storage in Northern Temperate forests. Global Change Biology 14, 142–153

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,1987-2016,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/DBH&Height1987-2016.xls,dbh_height1987-2016.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/dbh_height1987-2016.xls,,,
ng_002,Sugar Maple Leaf Litter C and N,Sugar Maple Leaf Litter C and N,,,"This file contains the sugar maple leaf litter C and N concentrations (g kg-1) for each of the six plots per study site.  Plots 1 through 3 are ambient controls (C).  Plots 4 through 6 receive simulated experimental N deposition of 3 g N m-2 y-1 (F). 

Sugar maple leaf litter was sorted from one half of one of the four 0.5 m2 litter traps placed on each study plot.   Litter was collected monthly from April through August and biweekly during the period of heavy litter fall from mid September through early November.   Sugar maple leaf litter from all collection dates for a year was composited by plot and ground for analysis.   C and N concentrations were determined using an elemental analyzer.   

Reference: KURT S . PREGITZER, ANDREW J. BURTON, DONALD R. ZAK and ALAN F. TALHELM (2008).Simulated chronic nitrogen deposition increases carbon storage in Northern Temperate forests. Global Change Biology 14, 142–153

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,1994-2016,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLSX,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Sugar_Maple_Leaf_Litter_C&N_1994-2016.xlsx,sugar_maple_leaf_litter_c_n_1994-2016.xlsx,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/sugar_maple_leaf_litter_c_n_1994-2016.xlsx,,,
ng_003,Control Plot Site Averages,Control Plot Site Averages,,,"Values are site averages for three control plots per site from 1988 to 1993 and six plots per site beginning in mid-summer 1994 (3 control, 3 NO3 amended)

Air temperature is measured at 2 m using thermistors

Soil temperature is measured at 15 cm using thermistors

Soil moisture at 15 cm and 75 cm is measured using gypsum soil moisture blocks. 

Sensors were read every thirty minutes by dataloggers (Omnidata Easylogger 824 and 924 series), with averages recorded every 3 hours

Moisture values were converted to matric potential using relationships calculated for each site and depth based on response curves developed by placing moisture blocks in intact soil cores from each site/depth in a pressure plate and recording values across matric potentials ranging from -0.01 to -1.5 MPa

Reference:  Burton, A.J., K.S. Pregitzer, J.N. Crawford, G.P. Zogg, and D.R. Zak.  2004.  Simulated chronic NO3- addition reduces soil respiration in northern hardwood forests.  Global Change Biol. 10:1080-1091.

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu
Values are site averages for three control plots per site from 1988 to 1993 and six plots per site beginning in mid-summer 1994 (3 control, 3 NO3 amended)

Air temperature is measured at 2 m using thermistors

Soil temperature is measured at 15 cm using thermistors

Soil moisture at 15 cm and 75 cm is measured using gypsum soil moisture blocks. 

Sensors were read every thirty minutes by dataloggers (Omnidata Easylogger 824 and 924 series), with averages recorded every 3 hours

Moisture values were converted to matric potential using relationships calculated for each site and depth based on response curves developed by placing moisture blocks in intact soil cores from each site/depth in a pressure plate and recording values across matric potentials ranging from -0.01 to -1.5 MPa

Reference:  Burton, A.J., K.S. Pregitzer, J.N. Crawford, G.P. Zogg, and D.R. Zak.  2004.  Simulated chronic NO3- addition reduces soil respiration in northern hardwood forests.  Global Change Biol. 10:1080-1091.

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,1988-2013,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/GradientAmbient1988-2013.xls,gradientambient1988-2013.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/gradientambient1988-2013.xls,,,
ng_004,Daily Precipitation,Daily Precipitation,,,"This file contains daily precipitation equivalent in inches  for each of the four Michigan Gradient study sites 

Data was collected beginning in July 1987 at Sites A and D and beginning in April 2002 at Sites B and C 

Precipitation was recorded using weighing rain gages (Model 5-780, Belfort Instrument Co., Baltimore, MD) located in open areas within 5 km of each site 

Missing data is indicated by an ""m"" in the precipitation column 

Trace amounts of precipitation are indicated by a ""t"" in the notes column, along with a 0 in the precipitation column 

Brief periods of missing daily data were at times estimated from long-term relationships between our precipitation records and those of the nearest NOAA weather station.  These are indicated by an * in the notes column. 

Reference for methods:  Burton, A.J., K.S. Pregitzer, J.N. Crawford, G.P. Zogg, and D.R. Zak.  2004.  Simulated chronic NO3- addition reduces soil respiration in northern hardwood forests.  Global Change Biol. 10:1080-1091.

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,1987-2011,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/DailyPrecip87-11.xls,dailyprecip87-11.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/dailyprecip87-11.xls,,,
ng_005,Leaf Phenology and Duration,Leaf Phenology and Duration,,,"This file contains the dates of ""leaf on"" and ""leaf off"" for each of the four Michigan Gradient study sites, as well as the days of leaf duration for each year. 

Leaf on =  sugar maple foliage > 50% expanded 
Leaf off = <75% of foliage remaining 

Determination of leaf on dates is based on field observations made by project personnel regarding the degree of leaf expansion that has occurred. 

Determination of leaf off dates is based on field observations made by project personnel regarding the degree of leaf drop that has occurred and measured leaf litter mass (biweekly during the fall) 

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,1988-2016,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/LeafDuratiion&Phenology1988-2016.xls,leafduratiion_phenology1988-2016.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/leafduratiion_phenology1988-2016.xls,,,
ng_006,Soil Temperature and Moisture,Soil Temperature and Moisture,,,"Values are site averages for three control plots per site from 1988 to 1993 and six plots per site beginning in mid-summer 1994 (3 control, 3 NO3 amended)

Air temperature is measured at 2 m using thermistors

Soil temperature is measured at 15 cm using thermistors

Soil moisture at 15 cm and 75 cm is measured using gypsum soil moisture blocks. 

Sensors were read every thirty minutes by dataloggers (Omnidata Easylogger 824 and 924 series), with averages recorded every 3 hours

Moisture values were converted to matric potential using relationships calculated for each site and depth based on response curves developed by placing moisture blocks in intact soil cores from each site/depth in a pressure plate and recording values across matric potentials ranging from -0.01 to -1.5 MPa

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,1988-2011,Daily,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/AirTemp_SoilTempH2O1988-2011.xls,airtemp_soiltemph2o1988-2011.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/airtemp_soiltemph2o1988-2011.xls,,,
ng_007,Stem Diameter and Height,Stem Diameter and Height,,,Missing dataset,,Dataset,All,1987-2011,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/DBH&Height_1987-2015.XLS,dbh_height_1987-2015.xls,dataset,,,,missing data file
ng_008,"Litter Biomass, Leaf Area Index","Litter Biomass, Leaf Area Index",,,"Aboveground litter production as measured from litter traps. Litter traps emptied approximately monthly during the spring and summer, biweekly during autumn. For more information see the following publications:

Pregitzer, K.S., A.J. Burton, D.R. Zak, and A.F. Talhelm.  2008.  Simulated chronic nitrogen deposition increases carbon storage in northern temperate forests.  Global Change Biology  14:142-153.

Burton, A.J., K.S. Pregitzer and D.D. Reed.  1991a.  Leaf area and foliar biomass relationships in northern hardwood forests located along an 800 km acid deposition gradient.  For. Sci.  37:1041-1059.
 
Note that large wood (woody litter with a diameter > 1 cm) was not collected at Site B from 1993 through 2011.   As a result, total litter fall values for Site B for those years are essentially the same as reported for the fine litter fraction.

Contact: Dr. Andrew Burton, Michigan Technological University
Email: ajburton@mtu.edu",,Dataset,All,1988-2013,Annual,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Litter&LAI_1988-2013.xls,litter_lai_1988-2013.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/litter_lai_1988-2013.xls,,,
ng_009,Litter Mass Remaining,Litter Mass Remaining,,,"Values (%) are plot averages for three replicate litterbags within each plot. Litterbags were deployed in July 2011 at the four Michigan Gradient sites. Three replicate bags of each type in a plot were harvested each time after periods of one month (TP1), three months (TP2), one (TP3), two (TP4) and three years (TP5).

Contact: Dr. Kurt Pregizer, kpregitzer@uidaho.edu; Dr. Mengxue Xia, mxia5569@gmail.com",,Dataset,All,2011-2014,Various,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLSX,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/GradientLitterMassRemaining2011-2014.xlsx,gradientlittermassremaining2011-2014.xlsx,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/gradientlittermassremaining2011-2014.xlsx,,,
ng_010,Nitrogen Budget,Nitrogen Budget,,,"Ecosystem N data: Zak et al. 2008 ""SIMULATED ATMOSPHERIC NO3  DEPOSITION INCREASES SOIL ORGANIC MATTER BY SLOWING DECOMPOSITION"" Ecological Applications 18:2016-2027

Collection Date: 2004

Contact: Donald Zak, University of Michigan
Email: drzak@umich.edu",,Dataset,All,2004,Periodic,"Michigan Nitrogen Deposition Gradient Study, University of Idaho",Dataset,XLS,,,https://webpages.uidaho.edu/nitrogen-gradient/Data/Gradient%20N%20Budget_2004.xls,gradient_n_budget_2004.xls,dataset,https://objects.lib.uidaho.edu/nitrogen-gradient/gradient_n_budget_2004.xls,,,
