objectid,filename,title,creator,description,date,date_archival,date is approximate?,subject,location,latitude,longitude,digital collection,source,identifier,digital_source,format,format original,display_template,type,rights,rightsstatement,language,object_location,image_small,image_thumb,extract_full_text
shitamae001,mg387_03_001.jpg,Letter to Shihei (George) Shitamae [1],,Letter written in Japanese.,1944,1944,yes,,,,,,George Shihei Shitamae papers,mg387_03_001,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn,https://objects.lib.uidaho.edu/shitamae/mg387_03_001.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_001_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_001_th.jpg,FALSE
shitamae002,mg387_03_002.pdf,Letter to Shihei (George) Shitamae [2],,Letter written in Japanese.,1944-10-07,10/7/1944,no,,,,,,George Shihei Shitamae papers,mg387_03_002,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn,https://objects.lib.uidaho.edu/shitamae/mg387_03_002.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_002_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_002_th.jpg,FALSE
shitamae003,mg387_03_003.pdf,Letter to Shihei (George) Shitamae [3],,Letter written in Japanese.,1944-10-13,10/13/1944,no,,,,,,George Shihei Shitamae papers,mg387_03_003,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn,https://objects.lib.uidaho.edu/shitamae/mg387_03_003.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_003_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_003_th.jpg,FALSE
shitamae004,mg387_03_004.pdf,Letter to Shihei (George) Shitamae from Midori Fujii [1],"Fujii, Midori","Letter from George Shihei Shitamae's great-niece, Midori, updating him on the weather and what various family members are doing.",1943-04-24,4/24/1943,no,travel; weather; activities (general context); celebrations,,,,,George Shihei Shitamae papers,mg387_03_004,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_004.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_004_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_004_th.jpg,FALSE
shitamae007,mg387_03_007.pdf,Letter to Shihei (George) Shitamae from Midori Fujii [2],"Fujii, Midori","Letter from George Shihei Shitamae's great-niece, Midori, thanking him for a chest that he sent her. Midori Fijii also discusses the weather and mentions her dog and it's new puppies.",1944-03-01,3/1/1944,no,gifts (object genre); weather; pets (domestic animals),"Hunt, Idaho",42.4044,-114.1438,,George Shihei Shitamae papers,mg387_03_007,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_007.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_007_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_007_th.jpg,FALSE
shitamae008,mg387_03_008.pdf,Letter to Shihei (George) Shitamae [4],,Letter written in Japanese.,1944,1944,yes,,,,,,George Shihei Shitamae papers,mg387_03_008,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,jpn,https://objects.lib.uidaho.edu/shitamae/mg387_03_008.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_008_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_008_th.jpg,FALSE
shitamae009,mg387_03_009.jpg,Drawing sent to Shihei (George) Shitamae from Kazumi Fujii [1],"Fujii, Kazumi",Drawing sent to George Shihei Shitamae from his great-niece Kazumi.,1944,1944,yes,drawings (visual works); children (people by age group),,,,,George Shihei Shitamae papers,mg387_03_009,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_009.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_009_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_009_th.jpg,FALSE
shitamae010,mg387_03_010.jpg,Drawing sent to Shihei (George) Shitamae from Kazumi Fujii [2],"Fujii, Kazumi",Drawing sent to George Shihei Shitamae from his great-niece Kazumi.,1944,1944,yes,drawings (visual works); children (people by age group),,,,,George Shihei Shitamae papers,mg387_03_010,,image/jpeg,,image,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_010.jpg,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_010_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_010_th.jpg,FALSE
shitamae011,mg387_03_011.pdf,Letter to Shihei (George) Shitamae from the Department of Justice,Department of Justice,Letter from the Department of Justice authorizing a rehearing for George Shihei Shitamae.,1944-02-23,2/23/1944,no,hearings (event),"Washington, DC",38.9072,-77.0369,,George Shihei Shitamae papers,mg387_03_011,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_011.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_011_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_011_th.jpg,FALSE
shitamae012,mg387_03_012.pdf,Letter to Shihei (George) Shitamae from Midori Fujii [3],"Fujii, Midori","Letter from George Shihei Shitamae's great-niece, Midori, describing being transported from Camp Harmony in Puyallup to the Minidoka Camp.",1942-09-15,9/15/1942,no,travel; trains (vehicle groupings); scenery (landscape),"Twin Falls, Idaho",42.5558,-114.4701,,George Shihei Shitamae papers,mg387_03_012,,application/pdf,,pdf,Image;StillImage,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,https://objects.lib.uidaho.edu/shitamae/mg387_03_012.pdf,https://objects.lib.uidaho.edu/shitamae/small/mg387_03_012_sm.jpg,https://objects.lib.uidaho.edu/shitamae/thumbs/mg387_03_012_th.jpg,FALSE
