title,description,author,editors,date,subject,publisher,relation-is part of,source,contributing institution,resource identifier,rights,rightsstatement,type,format,language,date digital,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Sixth Annual Report For the Fiscal Year 1953-1954,"The report contains four main sections: summary of projects and status, work accomplishments, evaluation and comments, and list of publications.  The work accomplishments section discussing projects is divided into forest management, range management, and wildlife and fisheries management.","Wohletz, Ernest; Tisdale, E.W.; Various Contributors",,1954,,"University of Idaho Forest, Wildlife and Range Experiment Station",Annual Reports - 1954 (Sixth),"Idaho SD12.I2 U45, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",,uifwre-ar06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/0,0,fwres0,pdf,fwres0.pdf,https://objects.lib.uidaho.edu/fwres/fwres0.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres0_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres0_th.jpg,
Seventeenth Annual Report For the Fiscal Year 1964-1965,"The report gives a summary of the college's activity during the year including staff activity and projects conducted by forest management, range management, and wildlife and fisheries management.  It also contains an appendix listing Forest, Wildlife and Range Experiment Station Staff and sources of research funds and other support.","Wohletz, Ernest; Tisdale, E.W.; Various Contributors",,1965-12-01,,"University of Idaho Forest, Wildlife and Range Experiment Station","Annual Reports - December, 1965 (Seventeenth)","Idaho SD12.I2 U45, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences; U.S. Department of Agriculture;",uifwre-ar17,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/1,1,fwres1,pdf,fwres1.pdf,https://objects.lib.uidaho.edu/fwres/fwres1.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres1_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres1_th.jpg,
A Checklist of the Cone & Seed Insects of Idaho,"The report inventories the insect species attacking cones and seeds of Idaho conifers.  It identifies, describes, and determines the extent of damage caused by both immature and adult insects and determines ecological life histories and intra- and interspecific relationships of various cone and seed insects.","Kulhavy, D.L.; Dale, J.W.; Schenk, J.A.",,1975-01-01,,"University of Idaho College of Forestry, Wildlife and Range Sciences",Information Series - January 1975 (No.6),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/2,2,fwres2,pdf,fwres2.pdf,https://objects.lib.uidaho.edu/fwres/fwres2.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres2_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres2_th.jpg,
1974 Directory of Idaho's Forest Products Industry,"The directory contains four sections.  The first is a complete alphabetical listing of firms in Idaho's forest products industry.  The second is an alphabetical listing of firms by county and includes the species used and products produced by each firm and complete mailing addresses for the firms.  The third section lists the firms, by number, that produce each of the products indicated.  The fourth section lists those firms that use the indicated species to manufacture various products.","Godfrey, E. Bruce; Shuster, Ervin G.;  Koss, William D.",,1975-01-01,,"University of Idaho College of Forestry, Wildlife and Range Sciences",Information Series - January 1975 (No.7),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is07,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/3,3,fwres3,pdf,fwres3.pdf,https://objects.lib.uidaho.edu/fwres/fwres3.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres3_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres3_th.jpg,
Focus on Renewable Natural Resources Fiscal 1981 Annual Report,"The bulletin highlights research in the Department of Wildland Recreation Management, including visiting Chinese scholars studying park development.  Other articles discuss fungi, deer populations, and lead poisoning at the Hagerman Wildlife Management Area.","Ehrenreich, J.H.; Hatch, Charles R.; Loewenstein, Howard; Various Contributors",Susan R. Hieb,1982,,"University of Idaho Forest, Wildlife and Range Experiment Station",Focus on Renewable Natural Resources Volume 7 - 1982,"Idaho SD12.I2 U452, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-fnrrv7,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/4,4,fwres4,pdf,fwres4.pdf,https://objects.lib.uidaho.edu/fwres/fwres4.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres4_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres4_th.jpg,
Off-Road Vehicle Law & Idaho: An ORV Planning Aid,The bulletin presents an overview of off-road vehicle law with a focus on the planning or development stage.,"Power, John A.; Schuster, Ervin G.",,1975-04-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Information Series - April 1975 (No. 11),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is11,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/5,5,fwres5,pdf,fwres5.pdf,https://objects.lib.uidaho.edu/fwres/fwres5.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres5_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres5_th.jpg,
A Directory to Disjunct and Endemic Plants of Central and Southern Idaho,The directory identifies locations of those plants in central and southern Idaho that have restricted distributions.,"Steele, Robert W.",,1975-03-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Information Series - March 1975 (No. 9),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is09,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/6,6,fwres6,pdf,fwres6.pdf,https://objects.lib.uidaho.edu/fwres/fwres6.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres6_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres6_th.jpg,
The Role of Socio-Economic Data in Idaho Land Use Planning,The bulletin describes a study that provides a basis for viewing the current role of socio-economic data in the Idaho land-use planning process.,"Pope, Clem L.; Schuster, Ervin G.",,1975-04-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Information Series - April 1975 (No. 12),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is12,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/7,7,fwres7,pdf,fwres7.pdf,https://objects.lib.uidaho.edu/fwres/fwres7.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres7_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres7_th.jpg,
Evaluation of Farm Tree Plantings in Idaho,The bulletin discusses the results of an evaluation survey of Idaho farm tree plantings.,"Burlison, Vernon H.; Tisdale, Edwin W.; Johnson, Frederic D.; Pitkin, Frank H.; Hauver, Richard N.",,1975-04-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Information Series - April 1975 (No. 13),"Idaho SD12.I2 U4, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","College of Forestry, Wildlife and Range Sciences;",uifwre-is13,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/8,8,fwres8,pdf,fwres8.pdf,https://objects.lib.uidaho.edu/fwres/fwres8.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres8_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres8_th.jpg,
Directory of Idaho Wood Products Manufacturers 2000,This Directory of Idaho Wood Products Manufacturers has been prepared to assist in marketing the wide variety of wood products produced in the State of Idaho.  It is our intent to list all wood products producers in the State that are interested in making their products and services available to potential customers.  Companies listed range from primary wood products manufacturers to specialized niche product producers.  Data published in this directory originated from several primary and secondary sources.,"Shook, Steven R.; Wagner, Francis G.",,2000-02-01,,"University of Idaho Forest, Wildlife and Range Experiment Station",Miscellaneous 21,"Idaho QH76.5 I2 M57, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",University of Idaho; University of Montana; Washington State University; Inland Northwest Forest Products Research Consortium;,uifwre-m21,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,2014,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fwres/id/9,9,fwres9,pdf,fwres9.pdf,https://objects.lib.uidaho.edu/fwres/fwres9.pdf,https://objects.lib.uidaho.edu/fwres/small/fwres9_sm.jpg,https://objects.lib.uidaho.edu/fwres/thumbs/fwres9_th.jpg,
