title,description,creator,date,subject,coverage,digital collection,holding institution,source,identifier,rights,rightsstatement,media type,type,format,digitization specifications,language,date digital,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
"The Family Tree : 1936, October","Vol. 1 No. 1, Published by Potlatch Forests, Inc., 4 pages.","Potlatch Forests, Inc.",1936-10,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3610,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-02,2015-08-28,2015-08-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/237,237,238.pdf,/spec_pot/supp/237/index.pdf,spec_pot237,pdf,spec_pot237.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot237.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot237_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot237_th.jpg,""
"The Family Tree : 1936, November","Vol. 1 No. 3, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1936-11,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3611,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-02,2015-08-28,2015-08-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/255,255,256.pdf,/spec_pot/supp/255/index.pdf,spec_pot255,pdf,spec_pot255.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot255.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot255_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot255_th.jpg,""
"The Family Tree : 1936, December","Vol. 1 No. 2, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1936-12,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3612,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-02,2015-08-28,2015-08-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/246,246,247.pdf,/spec_pot/supp/246/index.pdf,spec_pot246,pdf,spec_pot246.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot246.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot246_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot246_th.jpg,""
"The Family Tree : 1937, January","Vol. 1 No. 4, Published by Potlatch Forests, Inc., 10 pages.","Potlatch Forests, Inc.",1937-01,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3701,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,2015-08-28,2015-08-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/356,356,357.pdf,/spec_pot/supp/356/index.pdf,spec_pot356,pdf,spec_pot356.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot356.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot356_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot356_th.jpg,""
"The Family Tree : 1937, February","Vol. 1 No. 5, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-02,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3702,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,2015-08-28,2015-08-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/291,291,292.pdf,/spec_pot/supp/291/index.pdf,spec_pot291,pdf,spec_pot291.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot291.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot291_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot291_th.jpg,""
"The Family Tree : 1937, March","Vol. 1 No. 6, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-03,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3703,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,2015-08-28,2015-08-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/273,273,274.pdf,/spec_pot/supp/273/index.pdf,spec_pot273,pdf,spec_pot273.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot273.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot273_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot273_th.jpg,""
"The Family Tree : 1937, April","Vol. 1 No. 7, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-04,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3704,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,2015-08-28,2015-08-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/309,309,310.pdf,/spec_pot/supp/309/index.pdf,spec_pot309,pdf,spec_pot309.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot309.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot309_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot309_th.jpg,""
"The Family Tree : 1937, May","Vol. 1 No. 8, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-05,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3705,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,2015-08-28,2015-08-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/264,264,265.pdf,/spec_pot/supp/264/index.pdf,spec_pot264,pdf,spec_pot264.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot264.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot264_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot264_th.jpg,""
"The Family Tree : 1937, June","Vol. 1 No. 9, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-06,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3706,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,2015-08-28,2015-08-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/318,318,319.pdf,/spec_pot/supp/318/index.pdf,spec_pot318,pdf,spec_pot318.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot318.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot318_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot318_th.jpg,""
"The Family Tree : 1937, July","Vol. 1 No. 10, Published by Potlatch Forests, Inc., 8 pages.","Potlatch Forests, Inc.",1937-07,newsletter; logging;,United States--Idaho--Nez Perce County--Lewiston,"The Family Tree Collection, a Potlatch Forests, Inc. Newsletter","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Day-NW HD 9759 P67 A14; 1-5 1936/37 - 1940/41,3707,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,300 dpi pdf displayed; Master file is a 600 dpi TIFF; Sanned with a Minolta PS7000 scanner using Photoshop CS4 scanning software.,eng,2010-03,2015-08-28,2015-08-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_pot/id/282,282,283.pdf,/spec_pot/supp/282/index.pdf,spec_pot282,pdf,spec_pot282.pdf,https://objects.lib.uidaho.edu/familytree/spec_pot282.pdf,https://objects.lib.uidaho.edu/familytree/small/spec_pot282_sm.jpg,https://objects.lib.uidaho.edu/familytree/thumbs/spec_pot282_th.jpg,""
