objectid,parentid,title,date,description,category,source,source_page,original_url,type,format,email,filename,display_template,object_location,image_thumb,image_small,notes
president_annual_2017,,Annual Report 2017,2017,,Letters and Reports,,https://www.uidaho.edu/president/communications/annual-report,,Text,application/pdf,,ui_annual_report_17.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/ui_annual_report_17.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/ui_annual_report_17_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/ui_annual_report_17_sm.jpg,
president_annual_2018,,Idaho Impact: Annual Report and Strategic Plan Update 2017-18,2018,,Letters and Reports,,https://www.uidaho.edu/president/communications/annual-report,,Text,application/pdf,,annual-report-2018.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/annual-report-2018.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/annual-report-2018_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/annual-report-2018_sm.jpg,
president_annual_2019,,Idaho Impact: Annual Report and Strategic Plan Update 2019-20,2020,,Letters and Reports,,https://www.uidaho.edu/president/communications/annual-report,,Text,application/pdf,,2019-20-annual-report.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/2019-20-annual-report.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/2019-20-annual-report_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/2019-20-annual-report_sm.jpg,
president_annual_2021,,Idaho Impact: Annual Report Update 2020-21,2021,,Letters and Reports,,https://www.uidaho.edu/president/communications/annual-report,,Text,application/pdf,,2021-annual-report.pdf,pdf,https://objects.lib.uidaho.edu/fridayletter/2021-annual-report.pdf,https://objects.lib.uidaho.edu/fridayletter/thumbs/2021-annual-report_th.jpg,https://objects.lib.uidaho.edu/fridayletter/small/2021-annual-report_sm.jpg,
president_memo_2021-05-19,,"May 19, 2021 | One-Time Incentive Payments Given to Most Employees",2021-05-19,Email as originally published on the Presidential Memos page.,Presidential Memos,,https://perma.cc/H79Z-9K2U,,Text,text/html,"<p></p> <p> <strong>TO:</strong>&nbsp; University of Idaho Faculty and Staff<br> <strong>FROM:</strong>&nbsp; Scott Green, President<br> <strong>DATE:</strong>&nbsp; May 19, 2021<br> <strong>SUBJECT:</strong>&nbsp;&nbsp;One-Time Incentive Payments Given to Most Employees</p> <hr> <p>The financial challenges we faced in FY21 were unprecedented. On top of the FY21 permanent base budget reductions we were planning for during FY20, the state required a 5% appropriations holdback. The impact of the pandemic on tuition and other revenues was difficult to predict. In response, the university imposed a mandatory employee furlough, in addition to a hiring freeze, while at the same time implementing the planned across-the-board permanent base budget cuts aimed at realigning our expense budget with pre-pandemic revenue levels.</p> <p>Our Vandal Family came together to take, head-on, the challenges before us. For the second year in a row, you went beyond what we asked by saving more than budgeted. It wasn’t easy and hard decisions were made. But your hard work, responsible spending and unflappable ability to take on more work created savings well beyond what we expected. We have six weeks left in the fiscal year and will have final results later this summer, but we are confident you will stay the course and we will end the year having made meaningful progress on our reserve deficit.</p> <p>The work you each have done to help us address our financial situation and put us on a long-term path to budget stability has not gone unnoticed. It has enabled us to meet our state-required holdback targets without savings from the mandatory furlough. Therefore, I am pleased to announce each board-appointed employee on payroll as of Dec. 26, 2020, and remaining on the payroll as of May 15, 2021, will receive a lump-sum incentive payment equal to their reduction in pay from the mandatory furlough or salary reduction. As an added note, to prevent the appearance of any potential conflict of interest, Gabby and I will donate my incentive payment to the university.</p> <p>The one-time incentive payment will be distributed in the May 28 paycheck. These payments will be taxed as earnings in accordance with the bi-weekly tax withholding tables published by the IRS and the State of Idaho.</p> <p><a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/-/media/UIdaho-Responsive/Files/brand/email/2021/2021-0518-incentive-payment-qa.pdf?la=en&amp;hash=366425C8DFFAD5C1A67FC5E72B3B09E9BFA23181"">Answers to some basic questions</a> are available. If, after visiting this page, you have other questions about your specific situation, please send an email to <a href=""mailto:incentivepay@uidaho.edu"">incentivepay@uidaho.edu</a>. Staff will monitor and respond to messages within 24 hours. Please do not call the Payroll Office directly as they need to focus on processing these incentive payments in time to meet payroll deadlines.</p> <p>Thank you for the work you do for our university on the rise. You did what Vandals do best — you made a difference.</p> <p>Go Vandals!</p> <p><em>Scott Green<br> President</em></p> <p><em><a href=""mailto:president@uidaho.edu"">president@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/president"">uidaho.edu/president</a></em></p> <p></p>",,email,,,,
president_memo_2021-05-17,,"May 17, 2021 | Face Coverings Are No Longer Required",2021-05-17,Email as originally published on the Presidential Memos page.,Presidential Memos,,https://perma.cc/H79Z-9K2U,,Text,text/html,"<p></p> <p> <strong>TO:</strong>&nbsp; University of Idaho Students, Faculty and Staff<br> <strong>FROM:</strong>&nbsp; Scott Green, President<br> Torrey Lawrence, Provost and Executive Vice President<br> <strong>DATE:</strong>&nbsp; May 17, 2021<br> <strong>SUBJECT:</strong>&nbsp; <span> </span><span> </span><span> </span><span> </span>Face Coverings Are No Longer Required</p> <hr> <p>Effective Tuesday, May 18, face coverings are no longer required at the University of Idaho. This applies to the Moscow campus as well as the Coeur d’Alene, Boise and Idaho Falls centers. It applies in all other statewide locations where local county or city protocols do not require face coverings. This change is the result of updated guidance from the <a href=""https://wr.perma-archives.org/public/h79z-9k2u/20210805034119mp_/https://www.cdc.gov/coronavirus/2019-nCoV/index.html"">Centers for Disease Control and Prevention</a>.</p> <p>Supervisors must not ask employees their vaccination status for any reason. Employees can share their own status if they choose.</p> <p>We strongly encourage all who are not vaccinated to follow CDC guidance and continue wearing face coverings. Those who are already vaccinated may choose to continue wearing face coverings if it makes you more comfortable. We <a href=""https://wr.perma-archives.org/public/h79z-9k2u/20210805034119mp_/https://covidvaccine.idaho.gov/"">encourage everyone to be vaccinated</a> as we look forward to continuing our in-person instruction and operations.</p> <p>As a reminder, last week, Gov. Brad Little moved all of Idaho to <a href=""https://wr.perma-archives.org/public/h79z-9k2u/20210805034119mp_/https://rebound.idaho.gov/stages-of-reopening/"">Stage 4 of Idaho Rebounds</a>. Any further changes to U of I protocols will be communicated via email throughout the summer.</p> <p>Keep Calm and Vandal On.</p> <p><em>Scott Green<br> President</em></p> <p><em><a href=""mailto:president@uidaho.edu"">president@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/president"">uidaho.edu/president</a></em></p> <p><em>Torrey Lawrence<br> Provost and Executive Vice President<br> <br> <a href=""mailto:provost@uidaho.edu"">provost@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/provost"">uidaho.edu/provost</a></em></p> <p></p>",,email,,,,
president_memo_2021-05-10,,"May 10, 2021 | Thank You for Doing Your Part During the Pandemic",2021-05-10,Email as originally published on the Presidential Memos page.,Presidential Memos,,https://perma.cc/H79Z-9K2U,,Text,text/html,"<p></p> <p> <strong>TO:</strong>&nbsp; University of Idaho Students, Faculty and Staff<br> <strong>FROM:</strong>&nbsp; Scott Green, President<br> Torrey Lawrence, Provost and Executive Vice President<br> <strong>DATE:</strong>&nbsp; May 10, 2021<br> <strong>SUBJECT:</strong>&nbsp; <span> </span><span> </span><span> </span><span> </span>Thank You for Doing Your Part During the Pandemic</p> <hr> <p>We did it!</p> <p>Nearly 42,000 COVID-19 tests completed. An overall COVID-positive test result rate of less than 2.5%. An open campus culminating with in-person commencement. We have a lot to be proud of. Thank you to each and every one of you for doing your part to keep the Healthy Vandal Pledge.</p> <p>We had no idea what we were in for 14 months ago when COVID-19 swept the world with a once-in-a-lifetime health crisis. Swift and comprehensive action allowed us to open in person in August, house students on campus and provide the best experience possible in these circumstances.</p> <p>This weekend we will celebrate the achievements of our 2020 and 2021 graduates with eight commencement ceremonies across our great state. There is nothing better than honoring the academic success of these newest Vandal alumni.</p> <p>Our final week of surveillance testing concluded Friday. The number of weekly tests continue to fall as Vandals get vaccinated. Last week’s testing saw 1.44% positive cases in the 348 tests administered.</p> <p>We will start the summer with our Healthy Vandal protocols in place but may adapt as local and state protocols change. COVID-19 testing is available for symptomatic people by contacting <a href=""mailto:covid19questions@uidaho.edu"">covid19questions@uidaho.edu</a>. The isolation residence hall remains available for on-campus students who test positive. We have every intention of returning to normal course delivery and on-campus housing arrangements in the fall.</p> <p>Enjoy the weeks to come. Take advantage of the summer weather to get outside and enjoy some hard-earned down time. But please check your university email occasionally to stay current on any changes in COVID-related plans or protocols. This is the last weekly update.</p> <p>The fall promises to be exciting. Not only do we plan to return to normal operations, but we will also celebrate the opening of the Idaho Central Credit Union Arena during Homecoming Week. This beautiful building is a symbol of the vitality, ingenuity and resourcefulness of the Vandal Family.</p> <p>Thank you for helping the University of Idaho deliver on its promise of a high-quality education. Your efforts during the pandemic are especially appreciated. We look forward to a bright future and the impact Vandals will have on it.</p> <p>Keep Calm and Vandal On.</p> <p><em>Scott Green<br> President</em></p> <p><em><a href=""mailto:president@uidaho.edu"">president@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/president"">uidaho.edu/president</a></em></p> <p><em>Torrey Lawrence<br> Provost and Executive Vice President<br> <br> <a href=""mailto:provost@uidaho.edu"">provost@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/provost"">uidaho.edu/provost</a></em></p> <p></p>",,email,,,,
president_memo_2021-05-07,,"May 7, 2021 | Let Our Guiding Principles Guide You to Make a Difference",2021-05-07,Email as originally published on the Presidential Memos page.,Presidential Memos,,https://perma.cc/H79Z-9K2U,,Text,text/html,"<p></p> <p> <strong>TO:</strong>&nbsp; University of Idaho Faculty and Staff<br> <strong>FROM:</strong>&nbsp; Scott Green, President<br> <strong>DATE:</strong>&nbsp; May 7, 2021<br> <strong>SUBJECT:</strong>&nbsp;&nbsp;Let Our Guiding Principles Guide You to Make a Difference</p> <hr> <p>Our nation is experiencing turmoil on a regular basis. Each event, from racial injustice to civil unrest, the pandemic to political divisions, affects each of us personally. It pains me to see our country divided – yet I am continually impressed with how Vandals come together in solidarity and respect one another. Our actions each and every day show who we are individually and what we can accomplish collectively.</p> <p>In the past year, events in our country have caused us to think deeply. Closer to home, we were asked by legislators and others to respond to wild allegations and hyperbole set to shake the foundation of public education. Locally, the pandemic changed every aspect of day-to-day life. From these efforts there emerged repeated refrains that, without intention, began to shape something bigger. What evolved was a set of seven impactful statements — <a href=""https://wr.perma-archives.org/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/about/mission-vision-values#guiding_principles"">Guiding Principles</a> — as a platform of what we, as Vandals, stand for. These principles are not MY principles, they are OUR principles and intended to guide the actions each of us can take to support each other, to civilly debate and to learn about different viewpoints.</p> <p>We do amazing work every day across this great state and beyond. Students leave our university ready to lead in a global economy. The foundation each builds in their time here is solid – their belief in themselves and each other is unwavering. That is a testament to the faculty and staff, alumni and friends who have worked for more than 130 years to put students first and help every Vandal on their journey.</p> <p>We all must lead by example, to have hard conversations, listen to opposing viewpoints, know why you believe what you believe. Coming to understand yourself and your role is at the heart of a university experience.</p> <p>The challenges we face today will continue. But we can and will find our places in our Guiding Principles and show our support and respect through our actions. As a university, we have room for differing opinions and respectful debate. I implore each of you to come to know these Guiding Principles and look for ways to implement them. I aspire to these every day – and intentionally look for ways to improve myself and impact those around me. I encourage you to find places to make a difference. Let these principles guide you to make a difference.</p> <p><em>Scott Green<br> President</em></p> <p><em><a href=""mailto:president@uidaho.edu"">president@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/president"">uidaho.edu/president</a></em></p> <p></p>",,email,,,,
president_memo_2021-05-03,,"May 3, 2021 | We Are Approaching the Finish Line",2021-05-03,Email as originally published on the Presidential Memos page.,Presidential Memos,,https://perma.cc/H79Z-9K2U,,Text,text/html,"<p></p> <p> <strong>TO:</strong>&nbsp; University of Idaho Students, Faculty and Staff<br> <strong>FROM:</strong>&nbsp; Scott Green, President<br> Torrey Lawrence, Provost and Executive Vice President<br> <strong>DATE:</strong>&nbsp; May 3, 2021<br> <strong>SUBJECT:</strong>&nbsp; <span> </span><span> </span><span> </span><span> </span>We Are Approaching the Finish Line</p> <hr> <p>In this final week before exams and commencement, we continue to see the benefit of our actions. We finished last week with 454 COVID-19 test results with 2.64% of those being positive.</p> <p>Surveillance testing concludes this week — although symptomatic testing remains available by contacting <a href=""mailto:covid19questions@uidaho.edu"">covid19questions@uidaho.edu</a> and will be available throughout the summer. Vaccines continue to be broadly available across the state.</p> <p>Please join us Saturday and Sunday, May 15-16, as we celebrate our Moscow and Coeur d’Alene graduates in six in-person commencement ceremonies. We follow these with ceremonies in Boise and Idaho Falls on May 18 and 19, respectively. <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/events/commencement/spring"">Instructions for graduates and faculty</a>&nbsp;are available on the commencement website. We are also looking for <a href=""https://wr.perma-archives.org/public/h79z-9k2u/20210805034119mp_/https://forms.office.com/Pages/ResponsePage.aspx?id=Y2u8fpJXGUqyCwS4JgSIU9MQJ_GWENVEm1K-9cLrmyZUM1BCRllFNjdLU0lZVlM1SURGVVpGUjJLSC4u"">more volunteers to help </a>with the ceremony.</p> <p>We look forward to a return to normal operations in the fall, pending any significant changes in the pandemic in our state and region.</p> <p>Keep Calm and Vandal On.</p> <p><em>Scott Green<br> President</em></p> <p><em><a href=""mailto:president@uidaho.edu"">president@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/president"">uidaho.edu/president</a></em></p> <p><em>Torrey Lawrence<br> Provost and Executive Vice President<br> <br> <a href=""mailto:provost@uidaho.edu"">provost@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/provost"">uidaho.edu/provost</a></em></p> <p></p>",,email,,,,
president_memo_2021-04-26_2,,"April 26, 2021 | Surveillance Testing Is Capturing Fewer People",2021-04-26,Email as originally published on the Presidential Memos page.,Presidential Memos,,https://perma.cc/H79Z-9K2U,,Text,text/html,"<p></p> <p> <strong>TO:</strong>&nbsp; University of Idaho Students, Faculty and Staff<br> <strong>FROM:</strong>&nbsp; Scott Green, President<br> Torrey Lawrence, Provost and Executive Vice President<br> <strong>DATE:</strong>&nbsp; April 26, 2021<br> <strong>SUBJECT:</strong>&nbsp; <span> </span><span> </span><span> </span><span> </span>Surveillance Testing Is Capturing Fewer People</p> <hr> <p>As expected, our percentage of positives for the past week is a bit higher than the week prior as the number of tests decreases and more people are vaccinated. We are testing fewer people overall with the increase in vaccinations, therefore symptomatic people and close contacts are a larger part of our reduced weekly testing results. Of the 503 test results last week, 5.37% were positive. We believe most of those who tested positive live off campus.</p> <p>Plans continue to celebrate the success of our graduates in May. Six <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/events/commencement/spring"">commencement ceremonies</a>&nbsp;in Moscow, as well as one each <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/boise/calendar-events/commencement"">in Boise</a>&nbsp;and Idaho Falls, give us the chance to enjoy the accomplishments of the classes of 2020 and 2021. Faculty instructions for <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/events/commencement/spring/moscow"">Moscow</a>, <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/events/commencement/spring/boise"">Boise</a>&nbsp;and <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/events/commencement/spring/idaho-falls"">Idaho Falls</a>&nbsp;are available online.</p> <p>Increasing from one to six ceremonies will be a team effort. We are looking for about 15 volunteers per shift to assist with greeting guests, wayfinding, taking tickets and pushing wheelchairs. There are six shifts available over the two days. You can <a href=""https://wr.perma-archives.org/public/h79z-9k2u/20210805034119mp_/https://docs.google.com/forms/d/e/1FAIpQLScaxKc7X1YkNE7aWD7XNmD4L8m0HBs0XNUH9TYkRD2bdxecdg/viewform"">sign up online</a> to help. Contact Lydia Stucki at <a href=""mailto:lstucki@uidaho.edu"">lstucki@uidaho.edu</a> with questions.</p> <p>With just three weeks until commencement, it is as important as ever to remain committed to the <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/vandal-health-clinic/coronavirus"">Health Vandal Pledge</a>.</p> <p>Keep Calm and Vandal On.</p> <p><em>Scott Green<br> President</em></p> <p><em><a href=""mailto:president@uidaho.edu"">president@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/president"">uidaho.edu/president</a></em></p> <p><em>Torrey Lawrence<br> Provost and Executive Vice President<br> <br> <a href=""mailto:provost@uidaho.edu"">provost@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/provost"">uidaho.edu/provost</a></em></p> <p></p>",,email,,,,
president_memo_2021-04-26,,"April 26, 2021 | Eligible Employees to Receive 2% Pay Increase",2021-04-26,Email as originally published on the Presidential Memos page.,Presidential Memos,,https://perma.cc/H79Z-9K2U,,Text,text/html,"<p></p> <p> <strong>TO:</strong>&nbsp; University of Idaho Faculty and Staff<br> <strong>FROM:</strong>&nbsp; Scott Green, President<br> <strong>DATE:</strong>&nbsp; April 26, 2021<br> <strong>SUBJECT:</strong>&nbsp;&nbsp;Eligible Employees to Receive 2% Pay Increase</p> <hr> <p>It has been a challenging year. But, as Vandals do, we have succeeded in many of our efforts. Thank you for all you have done to help move our university forward. Pending the passage of the anticipated higher education budgets by the Legislature, all eligible employees will receive a 2% Change in Employee Compensation (CEC) increase for FY22.</p> <p>While the compensation increase proposed by Gov. Little for FY22 is 2%, this creates challenges for public colleges and universities. These institutions are funded from many different sources and the Legislature only provides about half of the funding needed to support the full 2% approved increase for all U of I employees. As is the case every year, the Legislature expects us to provide funding for the other half of the CEC increase, which most often comes from tuition increases. But, for the second year in a row, U of I will hold resident undergraduate tuition flat. We believe this is the right decision and will help more Idaho students go on to higher education. As a result, the <em>approved </em>2% CEC increase is only a 1% <em>funded</em> CEC increase.</p> <p>As you may recall, the same thing happened last year — the Legislature approved a 2% CEC increase, but only provided about half of the funding needed to support the approved increase. Because we did not increase tuition rates last year, the 2% <em>approved</em> increase became a 1% <em>funded</em> increase. But even the 1% CEC increase was not awarded because the state feared additional tax revenue impacts from COVID-19. We still have the money for that 1% increase in the bank. We can now take last year’s 1% increase, combined with this year’s 1% increase, to offer our employees a 2% CEC increase.</p> <p>Eligible employees are those who received a rating of “meets expectations” or higher on their 2020 annual performance evaluation and were hired into their current position on or before Dec. 31, 2020.</p> <p>The work you have done in the past year has made a difference to our students, our university and our state. Thank you for your dedication and service.</p> <p><em>Scott Green<br> President</em></p> <p><em><a href=""mailto:president@uidaho.edu"">president@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/president"">uidaho.edu/president</a></em></p> <p></p>",,email,,,,
president_memo_2021-04-19,,"April 19, 2021 | Protocols Mostly Unchanged for Summer Session",2021-04-19,Email as originally published on the Presidential Memos page.,Presidential Memos,,https://perma.cc/H79Z-9K2U,,Text,text/html,"<p></p> <p> <strong>TO:</strong>&nbsp; University of Idaho Students, Faculty and Staff<br> <strong>FROM:</strong>&nbsp; Scott Green, President<br> Torrey Lawrence, Provost and Executive Vice President<br> <strong>DATE:</strong>&nbsp; April 19, 2021<br> <strong>SUBJECT:</strong>&nbsp; <span> </span><span> </span><span> </span><span> </span>Protocols Mostly Unchanged for Summer Session</p> <hr> <p>The number of people tested for COVID-19 each week is decreasing as we see an increase in those receiving the vaccine. Of the 474 test results last week, 3.59% were positive. These appear to be mostly people who live off campus.</p> <p>We are just four weeks from commencement and the start of summer session. Protocols at all our sites statewide will not change drastically for the summer. The <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/vandal-health-clinic/coronavirus"">Healthy Vandal Pledge</a>&nbsp;will remain our guiding document as summer begins, although no one will be asked to acknowledge it again, as we did for the spring semester. Events and field camps must follow university protocols. Mandatory COVID-19 testing of students will not be done for summer session but free symptomatic testing will still be available by contacting <a href=""mailto:covid19questions@uidaho.edu"">covid19questions@uidaho.edu</a>. Details about summer session will be shared later this week.</p> <p>All employees who have not already returned to their pre-COVID-19 work space and without ongoing approved flexplace agreements or ADA accommodations are expected to return to work in person at their university-provided work space by Thursday, July 1. More details about flexplace and accommodations will be sent out soon.</p> <p>Your patience is appreciated as we transition back to a more normal workflow. We continue to monitor what is happening in our state and region and receive guidance from Idaho Public Health.</p> <p>Keep Calm and Vandal On.</p> <p><em>Scott Green<br> President</em></p> <p><em><a href=""mailto:president@uidaho.edu"">president@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/president"">uidaho.edu/president</a></em></p> <p><em>Torrey Lawrence<br> Provost and Executive Vice President<br> <br> <a href=""mailto:provost@uidaho.edu"">provost@uidaho.edu</a><br> <a href=""/public/h79z-9k2u/20210805034119mp_/https://www.uidaho.edu/provost"">uidaho.edu/provost</a></em></p> <p></p>",,email,,,,
