objectid,title,creator,date,archival_date,description,issue-volume,subject,location,idaho_county,source,identifier,filename,type,format_original,format,digital_collection,contributing_institution,language,rights,rightsstatement,cataloger,transcriber,display_template,object_location,image_small,image_thumb
foc_1994-fall,Salmon-Selway Defender: News and Reports from Idaho's Big Wild Fall 1994,Friends of the Clearwater,1994,1994,"28 pages, color print",Fall 1994,forest management; forestry; wolves; canis lupus (species); land management; salmon (fish); logging; national forests; fire (event);,"Nez Perce-Clearwater National Forest, Idaho; Payette National Forest, Idaho; Northern Rockies; Yellowstone National Park; Rocky Mountains; Salmon-Challis National Forest, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_1994fall,foc_1994-fall.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_1994-fall.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_1994-fall_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_1994-fall_th.jpg
foc_1995-spring,Salmon-Selway Defender: News and Reports from Idaho's Big Wild Spring 1995,Friends of the Clearwater,1995,1995,"36 pages, color print",Spring 1995,logging; wolves; canis lupus (species); land management; forestry; forest management; national forests; trout,"Nez Perce-Clearwater National Forest, Idaho; Payette National Forest, Idaho; Northern Rockies; Rocky Mountains; Salmon-Challis National Forest, Idaho; Columbia River Basin; Moscow, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_1995spring,foc_1995-spring.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_1995-spring.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_1995-spring_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_1995-spring_th.jpg
foc_1997-02,Salmon-Selway Defender: News of the Big Wild Feb. 1997,Friends of the Clearwater,1997-02,February 1997,"8 pages, newspaper",February 1997,logging; forestry; forest management; land management; national forests; wildlife; habitat,"Nez Perce-Clearwater National Forest, Idaho; Moscow, Idaho; Payette National Forest, Idaho; Panhandle National Forest, Idaho; Blue Mountains, Oregon; Northern Rockies",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_1997Feb,foc_1997-02.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_1997-02.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_1997-02_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_1997-02_th.jpg
foc_1997-11,Salmon-Selway Defender: News of the Big Wild Nov/Dec 1997,Friends of the Clearwater,1997-11,November 1997,"8 pages, newspaper",November/December 1997,logging; forestry; forest management; land management; national forests; ursidae (family); bears; wildlife,"Nez Perce-Clearwater National Forest, Idaho; Moscow, Idaho; Payette National Forest, Idaho; Panhandle National Forest, Idaho; Northern Rockies; Salmon-Challis National Forest, Idaho; Missoula, Montana; ",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_1997Nov,foc_1997-11.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_1997-11.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_1997-11_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_1997-11_th.jpg
foc_1998-05,Salmon-Selway Defender: News of the Big Wild May 1998,Friends of the Clearwater,1998-05,May 1998,"8 pages, newspaper",May 1998,wildlife; habitat; land management; forest management; forestry; wolverines (species); lynx (species); fisher (species); wolves; canis lupus (species),"Nez Perce-Clearwater National Forest, Idaho; Payette National Forest, Idaho; Northern Rockies; Salmon-Challis National Forest, Idaho; Moscow, Idaho; Panhandle National Forest, Idaho; Kootenai National Forest, Idaho; Yellowstone National Park; Clearwater County, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_1998May,foc_1998-05.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_1998-05.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_1998-05_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_1998-05_th.jpg
foc_1998-11,Salmon-Selway Defender: News of the Big Wild Nov. 1998,Friends of the Clearwater,1998-11,November 1998,"8 pages, newspaper",November 1998,wildlife; habitat; land management; forestry; forest management; logging; protests,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Pullman, Washington; Moscow, Idaho; Missoula, Montana",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_1998Nov,foc_1998-11.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_1998-11.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_1998-11_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_1998-11_th.jpg
foc_1999-05,Salmon-Selway Defender: News of the Big Wild May/June 1999,Friends of the Clearwater,1999-05,May 1999,"12 pages, black and white print",May/June 1999,industrialization; forestry; forest management; land management; national forests,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Pullman, Washington; Moscow, Idaho; Missoula, Montana",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_1999May,foc_1999-05.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_1999-05.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_1999-05_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_1999-05_th.jpg
foc_2000-winter,Salmon-Selway Defender: News of the Big Wild Winter 2000,Friends of the Clearwater,2000,2000,"12 pages, black and white print",Winter 2000,forest management; forestry; wildlife; habitat; salmon (fish); ursidae (family); bears; national forests; land management,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Pullman, Washington; Moscow, Idaho; Missoula, Montana; Frank Church River of No Return Wilderness, Idaho; Seattle, Washington; Orofino, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_2000winter,foc_2000-winter.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_2000-winter.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_2000-winter_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_2000-winter_th.jpg
foc_v01-n01,Clearwater Defender: News of the Big Wild Vol. 1 No. 1,Friends of the Clearwater,2000,2000,"12 pages, black and white print",Vol 1 No 1,wildlife; habitat; land management; forestry; forest management; logging; fire (event); ursidae (family); bears; wolves; canis lupus (species); wolverines (species); lynx (species); protests; national forests,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Pullman, Washington; Moscow, Idaho; Missoula, Montana; Orofino, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V01N01,foc_v01-n01.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v01-n01.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v01-n01_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v01-n01_th.jpg
foc_v01-n02,Clearwater Defender: News of the Big Wild Vol. 1 No. 2,Friends of the Clearwater,2001,2001,"10 pages, black and white print",Vol 1 No 2,forest management; forestry; fire (event); logging; habitat; ursidae (family); bears; national forests; protests; land management; skiing,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Pullman, Washington; Moscow, Idaho; Missoula, Montana; Sawtooth Mountains, Idaho; Selkirk Mountains, British Columbia, Canada; Washington, D.C.",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V01N02,foc_v01-n02.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v01-n02.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v01-n02_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v01-n02_th.jpg
foc_v01-n03,Clearwater Defender: News of the Big Wild Vol. 1 No. 3,Friends of the Clearwater,2001,2001,"12 pages, black and white print",Vol 1 No 3,land management; logging; forest management; forestry; national forests; western red cedar (species); caribou (species); protests,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Pullman, Washington; Moscow, Idaho; Missoula, Montana; Sawtooth Mountains, Idaho; Selkirk Mountains, British Columbia, Canada; Panhandle National Forest, Idaho",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V01N03,foc_v01-n03.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v01-n03.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v01-n03_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v01-n03_th.jpg
foc_v01-n04,Clearwater Defender: News of the Big Wild Vol. 1 No. 4,Friends of the Clearwater,2001,2001,"12 pages, black and white print",Vol 1 No 4,mining; wildlife; habitat; logging; land management; forest management; forestry; western red cedar (species); powwows; indigenous people,"Nez Perce-Clearwater National Forest, Idaho; Salmon-Challis National Forest, Idaho; Payette National Forest, Idaho; Pullman, Washington; Moscow, Idaho; Missoula, Montana",Clearwater; Latah,Library Special Collections Day-NW TD181.I2C54,foc_cd_V01N04,foc_v01-n04.pdf,text,newsletter,application/pdf,Friends of the Clearwater Newsletters,Friends of the Clearwater,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Kacie Kay 2026,,pdf,https://objects.lib.uidaho.edu/friendsclearwater/foc_v01-n04.pdf,https://objects.lib.uidaho.edu/friendsclearwater/small/foc_v01-n04_sm.jpg,https://objects.lib.uidaho.edu/friendsclearwater/thumbs/foc_v01-n04_th.jpg
