title,description,creator,date,source,identifier,format_original,type,format,rights,rightsstatement,language,datedigital,referenceurl,cdmid,cdmfilename,objectid,subject,display_template,filename,object_location,image_small,image_thumb,errors
"Lewiston Orchards Life, 1913 March","Vol. 2 no. 03, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,3/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191303,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/223,223,222.pdf,spec_lof223,birds (animals);societies (associations);clubs (associations);frequently asked questions;weather;excerpts;pruning;social networking;concept houses;country houses;livestock;obituaries;apples (fruits);orchards;grape (berry fruit);vineyards;horticulture;irrigation systems;vocational training;schools (institutions),pdf,spec_lof223.pdf,https://objects.lib.uidaho.edu/lewistonorch/spec_lof223.pdf,https://objects.lib.uidaho.edu/lewistonorch/small/spec_lof223_sm.jpg,https://objects.lib.uidaho.edu/lewistonorch/thumbs/spec_lof223_th.jpg,""
"Lewiston Orchards Life, 1913 November","Vol. 2 no. 11, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,11/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191311,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/224,224,223.pdf,spec_lof224,apples (fruits);orchards;social networking;poultry;administrative office buildings;vocational training;schools (institutions);societies (associations);clubs (associations);food storage equipment,pdf,spec_lof224.pdf,https://objects.lib.uidaho.edu/lewistonorch/spec_lof224.pdf,https://objects.lib.uidaho.edu/lewistonorch/small/spec_lof224_sm.jpg,https://objects.lib.uidaho.edu/lewistonorch/thumbs/spec_lof224_th.jpg,""
"Lewiston Orchards Life, 1913 June","Vol. 2 no. 06, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,6/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191306,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/225,225,224.pdf,spec_lof225,strawberries (fruits);social networking;societies (associations);clubs (associations);community development;weather;rose gardens;rose (genus);cherry tree (plant);pear (genus);injury (medical condition);advice;domestic science;horticulture;recipes,pdf,spec_lof225.pdf,https://objects.lib.uidaho.edu/lewistonorch/spec_lof225.pdf,https://objects.lib.uidaho.edu/lewistonorch/small/spec_lof225_sm.jpg,https://objects.lib.uidaho.edu/lewistonorch/thumbs/spec_lof225_th.jpg,""
"Lewiston Orchards Life, 1913 December","Vol. 2 no. 12, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,12/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191312,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/226,226,225.pdf,spec_lof226,rivers;social networking;societies (associations);clubs (associations);vocational training;schools (institutions);pruning;orchards;investments (expenditures);apples (fruits),pdf,spec_lof226.pdf,https://objects.lib.uidaho.edu/lewistonorch/spec_lof226.pdf,https://objects.lib.uidaho.edu/lewistonorch/small/spec_lof226_sm.jpg,https://objects.lib.uidaho.edu/lewistonorch/thumbs/spec_lof226_th.jpg,""
"Lewiston Orchards Life, 1914 January","Vol. 3 no. 01, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,1/1/1914,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191401,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/227,227,226.pdf,spec_lof227,walnuts (nuts);social networking;societies (associations);clubs (associations);apples (fruits);irrigation centers (inhabited places);orchards;hotbeds;advertising;planting plans;churches (institutions);agricultural cooperatives ,pdf,spec_lof227.pdf,https://objects.lib.uidaho.edu/lewistonorch/spec_lof227.pdf,https://objects.lib.uidaho.edu/lewistonorch/small/spec_lof227_sm.jpg,https://objects.lib.uidaho.edu/lewistonorch/thumbs/spec_lof227_th.jpg,""
"Lewiston Orchards Life, 1913 September","Vol. 2 no. 09, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,9/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191309,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/228,228,227.pdf,spec_lof228,planned communities;country houses;social networking;societies (associations);clubs (associations);irrigation;groundcover;market prices;agricultural cooperatives;flower gardens;recreation areas;elementary schools (institutions),pdf,spec_lof228.pdf,https://objects.lib.uidaho.edu/lewistonorch/spec_lof228.pdf,https://objects.lib.uidaho.edu/lewistonorch/small/spec_lof228_sm.jpg,https://objects.lib.uidaho.edu/lewistonorch/thumbs/spec_lof228_th.jpg,""
"Lewiston Orchards Life, 1914 February","Vol. 3 no. 02, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,2/1/1914,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191402,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/229,229,228.pdf,spec_lof229,apples (fruits);social networking;societies (associations);clubs (associations);market prices;agricultural cooperatives;highways;domestic science;contracts;planting ,pdf,spec_lof229.pdf,https://objects.lib.uidaho.edu/lewistonorch/spec_lof229.pdf,https://objects.lib.uidaho.edu/lewistonorch/small/spec_lof229_sm.jpg,https://objects.lib.uidaho.edu/lewistonorch/thumbs/spec_lof229_th.jpg,""
"Lewiston Orchards Life, 1914 April","Vol. 3 no. 04, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,4/1/1914,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191404,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/230,230,229.pdf,spec_lof230,location maps;social networking;societies (associations);clubs (associations);irrigation;water supply systems;elementary schools (institutions);spring (season);telephone systems;rose (genus);groundcover;highways;marketing,pdf,spec_lof230.pdf,https://objects.lib.uidaho.edu/lewistonorch/spec_lof230.pdf,https://objects.lib.uidaho.edu/lewistonorch/small/spec_lof230_sm.jpg,https://objects.lib.uidaho.edu/lewistonorch/thumbs/spec_lof230_th.jpg,""
"Lewiston Orchards Life, 1914 June","Vol. 3 no. 06, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,6/1/1914,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191406,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/231,231,230.pdf,spec_lof231,elementary schools (institutions);social networking;societies (associations);clubs (associations);apples (fruits);orchards;landscaping;bee (Avis genus);insect damage;infestation;irrigation;baseball (field sport);pruning;Fourth of July;corn (species);cherry (plant);recipes,pdf,spec_lof231.pdf,https://objects.lib.uidaho.edu/lewistonorch/spec_lof231.pdf,https://objects.lib.uidaho.edu/lewistonorch/small/spec_lof231_sm.jpg,https://objects.lib.uidaho.edu/lewistonorch/thumbs/spec_lof231_th.jpg,""
"Lewiston Orchards Life, 1913 August","Vol. 2 no. 08, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,8/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191308,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/232,232,231.pdf,spec_lof232,horticulture;social networking;societies (associations);clubs (associations);orchards;fairs;groundcover;packing houses;vocational training;schools (institutions);post offices;harvesting;horticulture;summer (season);pruning,pdf,spec_lof232.pdf,https://objects.lib.uidaho.edu/lewistonorch/spec_lof232.pdf,https://objects.lib.uidaho.edu/lewistonorch/small/spec_lof232_sm.jpg,https://objects.lib.uidaho.edu/lewistonorch/thumbs/spec_lof232_th.jpg,""
