title,objectid,parentid,description,creator,recipient,date,date-is-approximate,latitude,longitude,location,latitude-received,longitude-received,location-received,subject,digital collection,contributing institution,source,rights,format-original,type,format,language,identifier,filename,rightsstatement,display_template,object_location,image_small,image_thumb
Julius Schwartz letter to Richard Dodson 1932-06-04,dodson0001,,"Typewritten letter from Julius Schwartz to Richard Dodson. Schwartz talks about Dodson's highschool graduation as well as his own upcoming graduation. He then asks if Dodson is going to write the article he said he would for ""TTT"". From there he talks about news in SF magazine and book publications.","Schwarz, Julius","Dodson, Richard W.",1932-06-04,,40.856426,-73.894919,"New York, New York",,,,science fiction; high schools (institutions); magazines (periodicals); publishing; authors; books,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-1932-06-04,dodson-09-1932-06-04.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-1932-06-04.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-1932-06-04_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-1932-06-04_th.jpg
Tom Daniel letter to Richard Dodson 1934-02-02,dodson0002,,"Handwritten letter from Tom Daniel to Richard Dodson. Daniel introduces himself to Dodson, telling him a bit about himself.","Daniel, Tom","Dodson, Richard W.",1934-02-02,,34.09127,-117.7177,"Claremont, California",,,,letters (correspondence); publishing; writing,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence,Text,application/pdf,eng,dodson-12-1934-02-02,dodson-12-1934-02-02.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-12-1934-02-02.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-12-1934-02-02_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-12-1934-02-02_th.jpg
Richard Dodson letter to the editor of Amazing Stories,dodson0003,,"Undated typewritten letter from Richard Dodson to Editor, Amazing Stories. Dodson suggests some changes in Amazing Stories; different editors, and screening for stories published.","Dodson, Richard W.",Amazing Stories Editor,1939-01,,40.752156,-73.994121,"Baltimore, Maryland",40.752701,-73.927652,"New York, New York",science fiction; magazines (periodicals); list prices,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-09-undated01,dodson-09-undated01.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-09-undated01.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-09-undated01_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-09-undated01_th.jpg
Edward Elmer Smith letter to Richard Dodson 1949-04-02,dodson0004,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith talks about his upcoming stories and asks Dodson's advice on how he would handle writing about travelling faster than light.","Smith, Edward Elmer","Dodson, Richard W.",1949-04-02,,41.936839,-87.734659,"Chicago, Illinois",,,,writing; science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1949-04-02,dodson-04-1949-04-02.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1949-04-02.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1949-04-02_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1949-04-02_th.jpg
Henry Clark letter to Richard Dodson 1933-06-18,dodson0005,,"Typewritten letter from Henry Clark to Richard Dodson. Clark talks about how he is hoping for a job since he has just graduated highschool, he then promises to send Dodson documents and requests that he return the carbon copies. He talks about A.I.E. projects he will have for Dodson. There is a drawing of spaceships fighting at the bottom of the letter.","Clark, Henry","Dodson, Richard W.",1933-06-18,,39.759911,-104.9657,"Denver, Colorado",,,,letters (correspondence),The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence,Text,application/pdf,eng,dodson-12-1933-06-18,dodson-12-1933-06-18.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-12-1933-06-18.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-12-1933-06-18_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-12-1933-06-18_th.jpg
Clark Ashton Smith letter to Richard Dodson 1933-03-16,dodson0006,,"Typewritten letter from Clark Ashton Smith to Richard Dodson. Smith encloses a few versions of the drawings of ""the Hashish-Eater"", he talks about some poetry and stories, as well as one he is working on. He then discusses his thoughts on religion.","Smith, Clark Ashton","Dodson, Richard W.",1933-03-16,,38.895272,-121.075958,"Auburn, California",,,,science fiction; drawing (visual works); religions; science (modern discipline); supernatural,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-10-1933-03-16,dodson-10-1933-03-16.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-10-1933-03-16.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-10-1933-03-16_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-10-1933-03-16_th.jpg
Edward Elmer Smith letter to Richard Dodson 1932-02-04,dodson0007,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith writes about his progress in publishing ""Triplanetary"" and the requirements he needs to meet to publish it in Astounding Stories or other magazines.","Smith, Edward Elmer","Dodson, Richard W.",1932-02-04,,41.921672,-84.638791,"Hillsdale, Michigan",,,,science fiction; publishing,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1932-02-04,dodson-04-1932-02-04.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1932-02-04.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1932-02-04_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1932-02-04_th.jpg
Edward Elmer Smith letter to Richard Dodson 1933-01-16,dodson0008,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith thanks Dodson for the christmas card he sent, and gives him an update on publishing his works.","Smith, Edward Elmer","Dodson, Richard W.",1933-01-16,,41.921672,-84.638791,"Hillsdale, Michigan",,,,science fiction; authors; travel,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1933-01-16,dodson-04-1933-01-16.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1933-01-16.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1933-01-16_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1933-01-16_th.jpg
Edward Elmer Smith letter to Richard Dodson 1932-01-02,dodson0009,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith describes sending Dodson a rough draft with illustrations, discusses the mathematical impossibility of many Astounding Stories publications, and debates where ""Triplanetary"" will be published.","Smith, Edward Elmer","Dodson, Richard W.",1932-01-02,,41.920954,-84.630913,"Hillsdale, Michigan",40.196441,-92.58022,"Kirksville, Missouri",science fiction; novelists,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-01-1932-01-02,dodson-01-1932-01-02.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-01-1932-01-02.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-01-1932-01-02_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-01-1932-01-02_th.jpg
Edward Elmer Smith letter to Richard Dodson 1934-10-08,dodson0010,,"Typewritten letter from E. E. ""Doc"" Smith to Richard Dodson. Smith talks about remodeling his house and what he has been reading lately. Smith criticizes recent SF publications.","Smith, Edward Elmer","Dodson, Richard W.",1934-10-08,,41.921672,-84.638791,"Hillsdale, Michigan",,,,science fiction,The Richard W. Dodson Collection of Science Fiction,University of Idaho,University of Idaho Library Special Collections and Archives,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",correspondence; typewritten letter,Text,application/pdf,eng,dodson-04-1934-10-08,dodson-04-1934-10-08.pdf,http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/dodson/dodson-04-1934-10-08.pdf,https://objects.lib.uidaho.edu/dodson/small/dodson-04-1934-10-08_sm.jpg,https://objects.lib.uidaho.edu/dodson/thumbs/dodson-04-1934-10-08_th.jpg
