objectid,title,creator,date,description,subject,image_alt_text,source,identifier,,type,format_original,format,finding_aid,digital_collection,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb
wells001,Neural structure notes (green Stuart Hall notebook),"Wells, Richard B.",,The first fifteen pages of a spiral notebook. The pages contain notes from various texts about neural structures and brain functions.,psychology; anatomy; biology,Lined notebook paper with handwritten notes in black ink about neural structures and brain functions.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-001p001-015,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-001p001-015.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-001p001-015.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-001p001-015_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-001p001-015_th.jpg
wells002,Epistemology of Kant notes,"Wells, Richard B.",,"The first ten pages of a spiral notebook, labeled ""The Epistemology of Kant's Philosophy: System Theory of Psycho-practical reason."" The pages contain notes and drafts about Immanuel Kant, judgment, logic, cognition, and philosophy, with some reflection and commentary by Wells.",philosophy; logic; metaphysics,Lined notebook paper with handwritten notes in black ink about the epistemology of Emmanuel Kant.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-006p001-010,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-006p001-010.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-006p001-010.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-006p001-010_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-006p001-010_th.jpg
wells003,Kant's Metaphysical Foundations notes,"Wells, Richard B.",,"Thirteen pages (pages 27-39) of a spiral notebook, labeled ""Kant's Metaphysical Foundations of Natural Science."" The pages contain notes on Immanuel Kant's theories of motion, kinesis, space, and metaphysics, with some commentary and reflection by Wells.",philosophy; logic; motion; cognition,Lined notebook paper with handwritten notes in purple and black ink about Emmanuel Kant's metaphysics.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-007p001-013,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-007p001-013.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-007p001-013.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-007p001-013_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-007p001-013_th.jpg
wells004,General Logic notes,"Wells, Richard B.",,"Ten pages (pages 65-75) of a yellow 8x5 inch spiral notebook, labeled ""General Logic & Intuition."" The pages cover Kant's theories of logic and perception, and Well's logical proofs and notes.",philosophy; perception; logic,Lined notebook paper with handwritten notes in blue and black about Emmanuel Kant's theories.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-008p001-011,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-008p001-011.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-008p001-011.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-008p001-011_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-008p001-011_th.jpg
wells005,Notes on Kant's work on judgment and perception (composition notebook),"Wells, Richard B.",1997-10-17,"Eleven pages (pages 44-54) of a 10 by 7 and 7/8 inch composition notebook. The pages contain notes on Immanuel Kant's work on judgment and perception, as well as Wells' comments on the same.",philosophy; perception,Graph notebook paper with handwritten notes in blue ink about Emmanuel Kant's work on judgment and perception.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-009p001-011,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-009p001-011.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-009p001-011.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-009p001-011_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-009p001-011_th.jpg
wells006,First analysis of interests notes (gray Embassy notebook),"Wells, Richard B.",,"Ten pages (pages 48 - 60) of a gray Embassy brand 6x9 inch spiral notebook. The pages contain Wells' notes and diagrams on the topic of ""first analysis of interests (conjunctio I)."" This includes logical proofs and commentary on his processes.",philosophy; logic,Lined notebook paper with handwritten notes in black ink about logical proofs and commentary.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-010p001-013,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-010p001-013.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-010p001-013.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-010p001-013_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-010p001-013_th.jpg
wells007,Damasio notes (unmarked notebook),"Wells, Richard B.",,"The first eighteen pages of a yellow 8 and 1/2 by 7 inch spiral notebook without a label. The pages contain notes on ""The Feeling of What Happens"" by Antonio R. Damasio, as well as diagrams and calculations about neuroscience and electrical engineering.",psychology; perception; electrical engineering; calculations,Lined notebook paper with handwritten notes in black and green ink about neuroscience and electrical engineering.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-013p001-018,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-013p001-018.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-013p001-018.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-013p001-018_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-013p001-018_th.jpg
wells008,Piaget notes,"Wells, Richard B.",,"Fifteen pages (pages 101 - 115) of a yellow 8 and 1/4 by 6 and 7/8 inch spiral notebook, labeled ""Piaget Notes."" The pages contain notes on Wells' reasoning processes and notes on his own work, as well as notes from Jean Piaget's theories of intelligence and judgment.",philosophy; metaphysics,Lined notebook paper with handwritten notes in various colored ink about reason and intelligence.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-015p001-015,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-015p001-015.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-015p001-015.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-015p001-015_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-015p001-015_th.jpg
wells009,Misc. physiology notes (red notebook),"Wells, Richard B.",2018,"Eleven pages (pages 27 - 37) from a red 9.5 by 6 inch spiral notebook, labeled ""Misc Notes."" The pages contain notes from ""Physiology of Synaptic Transmission and Short Term Plasticity"" by W.G. Regehr & C.F. Stevens, as well as Wells' commentary on the same.",psychology; physiology; cognition,Lined notebook paper with handwritten notes in blue ink about physiology.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-016p001-011,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-016p001-011.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-016p001-011.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-016p001-011_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-016p001-011_th.jpg
wells010,Philosophy notes (red notebook),"Wells, Richard B.",,"Nine pages (pages 63 - 71) of a red 9.5 by 6 inch spiral notebook without a label on the cover. The pages contain notes from various texts about education and the history of education, as well as Wells' comments on the same.",education; history,Lined notebook paper with handwritten notes in black ink about philosophy.,"Richard B. Wells Papers, MG 670, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg670_b1-018p001-009,,Text,notebook,application/pdf,https://archiveswest.orbiscascade.org/ark:80444/xv557263,Dr. Richard B. Wells Papers,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,mg670_b1-018p001-009.pdf,https://objects.lib.uidaho.edu/wells/mg670_b1-018p001-009.pdf,https://objects.lib.uidaho.edu/wells/small/mg670_b1-018p001-009_sm.jpg,https://objects.lib.uidaho.edu/wells/thumbs/mg670_b1-018p001-009_th.jpg
