objectid,title,creator,date,abstract,description,subject,location,department,publisher,source,identifier,format_original,type,format,language,link,rights,rightsstatement,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,display_template,filename,object_location,image_small,image_thumb
ir0000,Colliding scopes:seeing academic library leadership through a lens of complexity,Lynn Baird,2010,Academic libraries routinely negotiate layers of change as embedded organizations in higher education institutions. Facing competing demands with limited resources gave rise to the question: how do academic library deans effectively lead their organizations in times of change? A Delphi Method study was conducted to identify successful leadership actions of academic library deans. Two panels of experts from land grant universities where librarians have faculty status and participate in the tenure process were convened: one of library deans and the other of academic deans. The data generated was analyzed through three lenses: a discussion of context for the study; an exploration of organizational climates as suggested by differences between academic colleges and libraries; and an examination of successful leadership actions and decisions within a model of complexity leadership. The resultant meta-analysis of complexity leadership theory provides insights about organizations and human resource development needed for adaptation and survival in the context of ceaseless change. ,"Dissertation (PhD, Education), University of Idaho, September 2010. Major professor: Laura B. Holyoke",Academic libraries--Administration ; Library administration ; Academic library directors ; Leadership,,College of Education,,,BairdL_2010,"xiii, 224 leaves :;29 cm.",Text,application/pdf,en,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2013-07-02,2015-09-11,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/IR/id/0,0,1.pdf,/IR/image/1.pdf,pdf,ir0000.pdf,https://objects.lib.uidaho.edu/ir/ir0000.pdf,https://objects.lib.uidaho.edu/ir/small/ir0000_sm.jpg,https://objects.lib.uidaho.edu/ir/thumbs/ir0000_th.jpg
ir0001,Investigation of RNA Hairpin Loop Folding with Time-Resolved Infrared Spectroscopy,"Stancik, Aaron Lee",2012-01-01,"Ribonucleic acids (RNAs) are a group of functional biopolymers central to the molecular underpinnings of life. To complete the many processes they mediate, RNAs must fold into precise three?dimensional structures. Hairpin loops are the most ubiquitous and basic structural elements present in all folded RNAs, and are the foundation upon which all complex tertiary structures are built. A hairpin loop forms when a single stranded RNA molecule folds back on itself creating a helical stem of paired bases capped by a loop. This work investigates the formation of UNCG hairpin loops with the sequence 5’?GC(UNCG)GC?3’ (N = A, U, G, or C) using both equilibrium infrared (IR) and time?resolved IR spectroscopy. Equilibrium IR melting data were used to determine thermodynamic parameters. Melting temperatures ranged from 50 to 60°C, and enthalpies of unfolding were on the order of 100 kJ/mol. In the time?resolved work, temperature jumps of up to 20°C at 2.5°C increments were obtained with transient relaxation kinetics spanning nanoseconds to hundreds of microseconds. The relaxation kinetics for all of the oligomers studied were fit to first or second order exponentials. Multiple vibrational transitions were probed on each oligomer for fully folded and partially denatured structures. In the time?resolved limit, in contrast to equilibrium melting, RNA does not fold according to two?state behavior. These results are some of the first to show that RNA hairpins fold according to a rugged energy landscape, which contradicts their relatively simple nature. In addition, this work has proven that time?resolved IR spectroscopy is a powerful and novel tool for investigating the earliest events of RNA folding, the formation of the  hairpin loop.","Dissertation (PhD, Chemistry), University of Idaho, January 2012. Major professor: Eric B. Brauns",RNA--Analysis,,Chemistry,,,stancik.diss.library.pdf,"xi, 133 leaves : ill. (chiefly col.) ; 29 cm.",Text,application/pdf,en,http://ida.lib.uidaho.edu:2048/login?url=http://search.proquest.com/pqdtft/docview/1015165997/abstract,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2013-08-19,2015-09-11,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/IR/id/1,1,2.pdf,/IR/image/2.pdf,pdf,ir0001.pdf,https://objects.lib.uidaho.edu/ir/ir0001.pdf,https://objects.lib.uidaho.edu/ir/small/ir0001_sm.jpg,https://objects.lib.uidaho.edu/ir/thumbs/ir0001_th.jpg
ir0003,Here We Have 150 Years of Idaho History: a Bibliography,Robert Perret,2014,A bibliography of Idaho history by geography and topic.,ebook,idaho; history;,,,,,perret2014.epub,digital,Text,application/epub+zip,en,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014-07-08,2015-09-11,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/IR/id/3,3,4.epub,/IR/image/4.epub,record,ir0003.epub,https://objects.lib.uidaho.edu/ir/ir0003.epub,,
ir0004,Here We Have 150 Years of Idaho History: a Bibliography,Robert Perret,2014,A bibliography of Idaho history by geography and topic.,ebook,idaho; history;,,,,,perret2014.pdf,digital,Text,application/pdf,en,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014-07-08,2015-09-11,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/IR/id/4,4,5.pdf,/IR/image/5.pdf,pdf,ir0004.pdf,https://objects.lib.uidaho.edu/ir/ir0004.pdf,https://objects.lib.uidaho.edu/ir/small/ir0004_sm.jpg,https://objects.lib.uidaho.edu/ir/thumbs/ir0004_th.jpg
ir0005,"Ranch-Level Economic Impact Analysis for Public Lands: A Guide to Methods, Issues, and Applications",L. Allen Torell; Neil R. Rimbey; John A. Tanaka; David T. Taylor; J. D. Wulfhorst,2014,"Legal mandates require public land managers to consider social and economic impacts in planning efforts, and analysts seek models and tools for use in resource planning and impact assessment. In this paper we review state-of-the-art methods and models that can be used to evaluate ranch-level decisions and land-use policy impacts. Most ranch models use profit-maximization as the decision criterion, but it must be recognized that ranchers make decisions with personal objectives that are broader than just profit. Investments in rangeland improvement practices or management changes can be assessed using standard investment analysis (e.g., net present value, benefit/cost, or internal rate of return). Ranching is a year-round endeavor and changes in a specific season of grazing use or management activity may have greater impact on the whole ranch operation than can be accounted for by analyzing seasons or levels of grazing use in isolation. Impacts will vary with available forage alternatives, ranch resources, and management options. Current models use recursive linear programming or simulations to assess impacts over multiple years. Ranching and grazing on rangelands can affect the production of a variety of ecosystem services, though these are often not quantified or included in either investment analysis or economic models that describe ranch businesses. Because no formal markets exist for many ecosystem services, establishing a value has proven difficult. The few studies that have attempted to quantify ecosystem service values report said values without strong justification for the defined level of goods and services expected under alternative actions and policies.","An article from the Journal of Rangeland Applications, an open access journal published at the University of Idaho.",benefit/cost analysis; economic impacts; ecosystem services; ranch budgets,,,,,"Journal of Rangeland Applications, Vol 1 (2014), 1-13",text,Text,application/pdf,en,http://journals.lib.uidaho.edu/index.php/jra/article/view/13/54,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014-09-30,2015-09-11,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/IR/id/5,5,6.pdf,/IR/image/6.pdf,pdf,ir0005.pdf,https://objects.lib.uidaho.edu/ir/ir0005.pdf,https://objects.lib.uidaho.edu/ir/small/ir0005_sm.jpg,https://objects.lib.uidaho.edu/ir/thumbs/ir0005_th.jpg
ir0006,Implications of Longer Term Grazing Rest in the Sagebrush Steppe,Kirk W. Davies; Martin Vavra; Brad W. Schultz; Neil R. Rimbey,2014,"Longer term grazing rest has occurred or been proposed in large portions of the sagebrush steppe based on the assumption that it will improve ecosystem properties. However, information regarding the influence of longer term rest from grazing is limited and has not been summarized. We synthesized the scientific literature on long-term rest in the sagebrush steppe to evaluate the potential ecosystem effects and identify factors that influence those effects. Longer term rest is clearly advantageous compared to detrimental grazing practices (i.e., repeated defoliation during the growing season without periodic deferment or short-term rest). Changing grazing management from detrimental use to modern recommended grazing practices or dormant season use will likely convey the same benefits as long-term grazing rest in most situations. In general, long-term rest and modern properly managed grazing produce few significant differences. However, some topic areas have not been adequately studied to accurately predict the influence of long-term rest compared to managed grazing. In some situations, long-term rest may cause negative ecological effects. Not grazing can cause an accumulation of fine fuels that increase fire risk and severity and, subsequently, the probability of sagebrush steppe rangelands converting to exotic annual grasslands. One common theme we found was that shifts in plant communities (i.e., exotic annual grass invasion and western juniper encroachment), caused in part from historical improper grazing, cannot be reversed by long-term rest. This synthesis suggests that land managers should carefully consider if long-term rest will actually achieve their management goals and if a change in grazing management would achieve similar results","An article from the Journal of Rangeland Applications, an open access journal published at the University of Idaho.",dormant season grazing; exclosures; grazing interactions; herbivory; proper management,,,,,"Journal of Rangeland Applications, Vol 1 (2014), 14-34",text,Text,application/pdf,en,http://journals.lib.uidaho.edu/index.php/jra/article/view/15/58,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014-09-30,2015-09-11,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/IR/id/6,6,7.pdf,/IR/image/7.pdf,pdf,ir0006.pdf,https://objects.lib.uidaho.edu/ir/ir0006.pdf,https://objects.lib.uidaho.edu/ir/small/ir0006_sm.jpg,https://objects.lib.uidaho.edu/ir/thumbs/ir0006_th.jpg
ir0007,Livestock Grazing Effects on Fuel Loads for Wildland Fire in Sagebrush Dominated Ecosystems,Eva K. Strand; Karen L. Launchbaugh; Ryan F. Limb; L. Allen Torell,2014,"Herbivory and fire are natural interacting forces contributing to the maintenance of rangeland ecosystems. Wildfires in the sagebrush dominated ecosystems of the Great Basin are becoming larger and more frequent, and may dramatically alter plant communities and habitat. This synthesis describes what is currently known about the cumulative impacts of historic livestock grazing patterns and short-term effects of livestock grazing on fuels and fire in sagebrush ecosystems. Over years and decades grazing can alter fuel characteristics of ecosystems. On a yearly basis, grazing can reduce the amount and alter the continuity of fine fuels, potentially changing wildlife fire spread and intensity. However, how grazing-induced fuel alterations affect wildland fire depends on weather conditions and plant community characteristics. As weather conditions become extreme, the influence of grazing on fire behavior is limited, especially in communities dominated by woody plants.","An article from the Journal of Rangeland Applications, an open access journal published at the University of Idaho.",annual grasses; wildlife fire; prescribed grazing; sagebrush; fuel treatments,,,,,"Journal of Rangeland Applications, Vol 1 (2014), 35-57",text,Text,application/pdf,en,http://journals.lib.uidaho.edu/index.php/jra/article/view/12/59,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014-09-30,2015-09-11,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/IR/id/7,7,8.pdf,/IR/image/8.pdf,pdf,ir0007.pdf,https://objects.lib.uidaho.edu/ir/ir0007.pdf,https://objects.lib.uidaho.edu/ir/small/ir0007_sm.jpg,https://objects.lib.uidaho.edu/ir/thumbs/ir0007_th.jpg
ir0008,Livestock Grazing and Sage-Grouse Habitat: Impacts and Opportunities,Chad S. Boyd; Jeffrey L. Beck; John A. Tanaka,2014,"Sage-grouse obtain resources for breeding, summer, and winter life stages from sagebrush communities. Grazing can change the productivity, composition, and structure of herbaceous plants in sagebrush communities, thus directly influencing the productivity of nesting and early brood-rearing habitats. Indirect influences of livestock grazing and ranching on sage-grouse habitat include fencing, watering facilities, treatments to increase livestock forage, and targeted grazing to reduce fine fuels. To illustrate the relative value of sagebrush habitats to sage-grouse on year-round and seasonal bases, we developed state and transition models to conceptualize the interactions between wildfire and grazing in mountain and Wyoming big sagebrush communities. In some sage-grouse habitats, targeted livestock grazing may be useful for reducing fine fuels produced by annual grasses. We provide economic scenarios for ranches that delay spring turnout on public lands to increase herbaceous cover for nesting sage-grouse. Proper rangeland management is critical to reduce potential negative effects of livestock grazing to sage-grouse habitats.","An article from the Journal of Rangeland Applications, an open access journal published at the University of Idaho.",Centrocercus urophasianus; livestock grazing; mountain big sagebrush; Wyoming big sagebrush; sage-grouse; economics,,,,,"Journal of Rangeland Applications, Vol 1 (2014), 58-77",text,Text,application/pdf,en,http://journals.lib.uidaho.edu/index.php/jra/article/view/17/57,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014-09-30,2015-09-11,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/IR/id/8,8,9.pdf,/IR/image/9.pdf,pdf,ir0008.pdf,https://objects.lib.uidaho.edu/ir/ir0008.pdf,https://objects.lib.uidaho.edu/ir/small/ir0008_sm.jpg,https://objects.lib.uidaho.edu/ir/thumbs/ir0008_th.jpg
ir0009,"Population Dynamics, Habitat Use and Movements of Greater Sage-Grouse in Moffat County, Colorado","Hausleitner, Doris",2003,"Long-term declines in greater sage-grouse (Centrocercus urophasianus) abundance may be associated with low productivity due to habitat degradation. Therefore, I investigated the effects of vegetation characteristics on nest site selection and success, and created predictive models using forward stepwise logistic regression. Greater sage-grouse nested in sites having greater sagebrush canopy cover, nest shrub height and visual obstruction than random sites. Forb cover was greater at nest sites than random but grass cover and % exotic species at the nest bowl were greater at random sites than nest sites.  Nest success was high with 58% (n = I08) of hens hatching 2: 1 egg. Nest success was positively associated with plant species richness, percent sagebrush, grass and forb cover and negatively associated with exotic herbaceous cover. Additionally, grass heights measured at the nest bowl and at I m from the nest bowl were parameters associated with nest success. Vegetation was reduced in 2002, a year with less spring precipitation, and may be associated with lower nest success. Habitat management to encourage greater sage-grouse nest success should promote native herbaceous understory growth in April and May and discourage sagebrush removal.  Habitat management guidelines are based, in part, on studies of greater sage-grouse nest site selection, which measure habitat characteristics post-hatch,&gt; 30 days after initiation. Thus, these recommendations may be flawed due to the time lag in sampling. I investigated differences in habitat at initiation versus hatch using previous year's nest sites. A randomized complete block MANOV A indicated differences based on timing of sampling. The difference was largely due to grass height and percent grass cover. Grass heights at the nest bowl and at 1 m were 10 cm and 9 cm at initiation and I6 cm and I3 cm at hatch, respectively. Percent grass cover of the sample plot increased from 4 to 6% cover from initiation to hatch. Sampling techniques conducted at hatch sufficiently describes nest site habitat at selection apart from grass heights and grass cover.   Despite extensive research into the habitat requirements of greater sage-grouse, summer night-roosting habitat has received no attention. Therefore, I investigated the vegetation characteristics of brood and night roost selection arid compared diurnal and nocturnal habitat use and selection. Predictive models were created using forward stepwise logistic regression. Greater sage-grouse selected brood-use areas with greater visual obstruction, greater forb cover and less bare ground than random.  Night-roost locations were characterized by less bare ground and visual obstruction but greater percent forb cover than at random sites. Mean shrub cover and shrub height at night roost locations was lower (9% vs. 22%) and shorter (31 vs. 58 cm) than at brood sites. Forb cover was an important predictor of both diurnal and nocturnal habitat use but did not meet the minimum requirements of 2: 1 Oo/o suggested by management guidelines. Current habitat management guidelines attend only to diurnal habitat needs and should be revised in order to address the variance in temporal habitat selection. I described home range, daily movements and survival of greater sage-grouse monthly, seasonally and annually. Median daily movement during the brood-rearing period was greater for females with broods (184m/day) than those without broods (103m/day), and was not associated with chicks/female at 6 weeks post-hatch. Lek to nest distance and brood home range sizes were greater for females that nested in the Axial Basin (4.6 km, 1,151 ha) than the Danforth Hills (2.6 km, 439 ha) indicating that habitat conditions may be causing greater movement in the Axial Basin. Distances moved from the last diurnal location to night roost sites (397m) suggested that females with broods were required to move 2 times their median daily movement in order to find suitable night-roost habitat and that seasonal movement estimates in the literature may be biased low. Annual home range sizes of yearlings and adults, and seasonal movements from the lek of capture indicated that the population of greater sage-grouse in the Axial Basin and Danforth Hills was non-migratory. Annual survival rates were greater for yearling (7 5%) than adult females (57%). Year, seasonal trend and age were variables that contributed to predictive annual survival models.   Survival rates were lowest in the breeding and brood-rearing periods and increased through the fall and winter. Body condition indices, serum chemical constituents and disease prevalence were estimated for pre-laying female greater sage-grouse. Previous studies conjectured prematernal diet was associated with greater•sage-grouse productivity and survival but gave no specifics on condition with respect to body size or serum biochemical constituents. Thus I investigated pre-breeding body condition as a function of a body condition index and a serum chemical panel and how these parameters were associated with reproduction and survival.  No differences were found in measures of fecundity, however the expense may be incurred through survival rates, which were related to the body condition index, serum protein and uric acid concentrations. Baseline biochemistry reference ranges for pre-breeding hens were established. These values varied by year and capture technique. Annual variation may be linked to precipitation and forage quality. Elevated creatinine kinase and chloride levels occurred in females captured by the CODA net-launcher in comparison to females captured by night-spotlighting. Differential biochemical values may have been caused by stress or diurnal variation in serum chemistry.  Diseases tested included avian influenza, Salmonella pullorum/ S. typhoid, Mycoplasma gallisepticum, M. synoviae, and M meleagridis. Individual grouse tested positive for M. synoviae, however there was no consistency of lab results among years, laboratories, or blood storage method. Additionally, no relationship between disease occurrence and reproduction or survival was detected and false positives have been reported with the plate agglutination-screening test. Given this information, the serology results need to be viewed cautiously as they were based on questionable disease incidence.","Thesis (M.S., Wildlife Resources), University of Idaho, July 2003. Major professor: Reese, Kerry P",sage-grouse,,Fish and Wildlife Sciences,,,,text,Text,application/pdf,en,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2015-02-26,2015-09-11,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/IR/id/9,9,10.pdf,/IR/image/10.pdf,pdf,ir0009.pdf,https://objects.lib.uidaho.edu/ir/ir0009.pdf,https://objects.lib.uidaho.edu/ir/small/ir0009_sm.jpg,https://objects.lib.uidaho.edu/ir/thumbs/ir0009_th.jpg
ir0010,"Ecology of Greater Sage-Grouse in South-Central Owyhee County, Idaho","Wik, Paul A.",2002,"Breeding populations of greater sage-grouse (Centrocercus urophasianus) have been reduced 17- 47%, which is thought to be a result of over-exploitation, habitat loss, and habitat degradation. The seasonal habitats, movements, and survival of sage-grouse populations in southwest Idaho were poorly understood, and this lack of information hindered planning efforts of the United States Air Force (U.S.A.F.), which received approval for training sites to be constructed in Owyhee County beginning in 1999. This research was designed to help assess potential effects in sage-grouse from these activities. My primary objectives were to assess whether sage-grouse were affected by the construction of U.S.A.F. Enhanced Training in Idaho (ETI) sites and obtain baseline  ecological data on the population and habitats.  Male and female sage-grouse were captured and fitted with necklace-style radio transmitters in 1999, 2000, and 2001 to determine survival, movements, and success from nests and broods. Annual survival rates for males were 0.54 (n = 14, 1999/2000, September 1999- August 2000) and 0.61 (n = 17, 2000/2001, i.e. September 2000- August 2001), with seasonal survival rates ranging from 0.76- 1.00 for all seasons (Seasons were: Sept- Nov, Dec- Feb, Mar- May, and June- Aug) and years. Adult female sage grouse annual survival rates were 0.58 (n = 21, 1999/2000) and 0.42 (n = 38, 2000/2001). Sub-adults (10 weeks of age to 15 months) survival rates were 0.22 (n = 16, 1999/2000) and 0.55 (n = 18, 2000/2001). Seasonal rates ranged from 0.74- 1.00 for adults and from 0.40- 1.00 for sub-adults. Nest success was 43% (9 of 21, 2000) and 50% (8 of 16, 2001) with an average first clutch size of 6.5 ± 0.27 (95% C.l.). In 2000, 20% of the hens that lost their first nest renested (2 of 10) and no estimates of renesting could be obtained for 2001. Nests were placed under taller shrubs (P ~ 0.001) with greater shrub cover (P ~ 0.001), taller  grass (P ~ 0.001), and greater cover provided by grass (P = 0.003) than randomly available.  Brood-rearing success was low in 2000 (38%) and increased in 2001 (83% ), but production from both years (0.43 and 0.66 chicks/hen in 2000 and 2001, respectively for flush counts at 7 weeks) was well below the 2.25 chicks/hen thought necessary to maintain a stable or increasing population. Hens with broods used taller (P = 0.025) shrubs with greater grass cover (P = 0.004) than was randomly available. In 2000, hens with broods used the same habitat through the brood-rearing period, whereas in 2001, hens switched habitats at the end of June. In 2001, 5 forbs were identified to occur more frequently in habitats used by broods in the early brood-rearing season (4- 5 weeks posthatch), and 4 forbs were identified to occur more frequently at brood sites in the late brood-rearing period. Most birds moved south to southwest from spring to summer range. Males tended to use higher elevation habitats during the summer and females used the upland shrubs and agricultural fields centered around the community of Riddle, Idaho. Females moved an average of 1.7 ± 0.42 km (95% C.l.) from lek of capture to nest, with renests averaging 790 m (240- 1300m) from the first nest. Mean distance moved from spring range to summer range for males was 23.9 ± 2.13 km (95% C.l., ages combined) and 17.0 ± 1.44 km (95% C.l., ages combined) for females. Males moved farther than females (P = 0.027) to reach their summer range. Decay rates of sage grouse intestinal droppings were examined to determine whether they could be used as a sampling tool for detecting  changes in habitat use.   Droppings were placed in 3 habitats (A. t. wyomingensis, A. arbuscula, and Agropyron cristatum) in groups of piles and singles. Single droppings decayed at a similar rate (P = . 0.702) among the 3 habitats, but piles decayed slower (P = 0.051) in the A. arbuscula habitat than the other 2 habitats during 734 days of exposure. Using dropping counts for detecting changes in sage grouse use is viable with count intervals 1 year. Insufficient data had been collected to determine whether any effects from the construction of the U.S.A.F. sites occurred. Additional data will be collected on dropping counts placed around 4 Enhanced Training in Idaho (ETI) sites constructed by the U.S.A.F. during 1999-2001 to continue assessing this issue.","Thesis (M.S., Wildlife Resources) -- University of Idaho, December 2002. Major professor: Reese, Kerry P.",sage-grouse;,,Wildlife Resources,,,,text,Text,application/pdf,en,,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2015-03-11,2015-09-11,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/IR/id/10,10,11.pdf,/IR/image/11.pdf,pdf,ir0010.pdf,https://objects.lib.uidaho.edu/ir/ir0010.pdf,https://objects.lib.uidaho.edu/ir/small/ir0010_sm.jpg,https://objects.lib.uidaho.edu/ir/thumbs/ir0010_th.jpg
