objectid,filename,title,description,date,general manager,company name,1st stations,2nd stations,3rd stations,4th stations,idaho_county,subjects,digital_collection,source,finding_aid,language,identifier,rights,rightsstatement,format_original,type,format,display_template,object_location,image_small,image_thumb
cprr001,cprrbulletin007.pdf,"Camas Prairie Railroad Company Office of Manager Bulletin No. 7 Lewiston, Idaho, March 5, 1927.","Camas Prairie Railroad Company Office of Manager Bulletin No. 7 Lewiston, Idaho, March 5, 1927. All Concerned: Effective Sunday, March 13, 1927, train No. 7 will run on the following schedule:… This schedule will remain in effect until further notice and DOES NOT confer any train rights. R. E. Hanrahan Manager. 1 page.",1927-03-05,R. E. Hanrahan,Camas Prairie Railroad Co.,"Lewiston, Idaho; Transfer, Idaho; Wilma, Washington; Alpowa, Washington; Moses, Washington; Indian, Washington; Bishop, Washington; Truax, Washington; Crum, Washington; Wawawai, Washington; Interior, Washington; Almota, Washington; Swift, Washington; Penawawa, Washington; Purrington, Washington; Peyton, Washington; Central Ferry, Washington; Ridpath, Washington; Flagpole, Washington; Riparia, Washington",,,,Nez Perce County,transportation timetables; bulletins; amendments (administrative records),Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrbulletin007,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrbulletin007.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrbulletin007_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrbulletin007_th.jpg"
cprr002,cprrbulletin009.pdf,"Camas Prairie Railroad Company Bulletin No. 9 Lewiston, Idaho, November 18, 1929.","Camas Prairie Railroad Company Bulletin No. 9 Lewiston, Idaho, November 18, 1929. All Concerned: Effective Sunday, November 24, 1929, and during the life of time table No. 68, train No. 343 will be operated on following schedule which is one hour and forty- five minutes later than shown in time table No. 68.... The Foregoing does not confer any train rights. R. E. Hanrahan Manager. 1 page.",1929-11-18,R. E. Hanrahan,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Rock Spur, Idaho; Sand Spur, Idaho; Ferdinand, Idaho; Craigmont, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Spalding, Idaho; North Lapwai, Idaho; Forebay, Idaho; East Lewiston, Idaho; Lewiston, Idaho",,,,Idaho County; Lewis County; Nez Perce County,transportation timetables; bulletins; amendments (administrative records),Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrbulletin009,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrbulletin009.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrbulletin009_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrbulletin009_th.jpg"
cprr003,cprrbulletin103-1920.pdf,"Union Pacific System Oregon-Washington Railroad & navigation Company General Passenger Department Bulletin NO. 103-1920 Cancelling Bulletin No. 97-1920. Reopening Camas Prairie Railroad between Riparia, Washington and Lewiston, Idaho. Portland, Oregon, August 2, 1920.","Union Pacific System Oregon-Washington Railroad & navigation Company General Passenger Department Bulletin NO. 103-1920 Cancelling Bulletin No. 97-1920. Reopening Camas Prairie Railroad between Riparia, Washington and Lewiston, Idaho. Portland, Oregon, August 2, 1920. To All Agents and Connecting Lines: Referring to our Bulletin No. 97 of the 26th ultimo and other communication concerning closing of the Camas Prairie Railroad between Riparia and Lewiston, we are very glad to announce that it will be open again for all traffic August 4th, with first train leaving lewiston, namely, No. 7, 9:20 AM August 4th; returning leaving Riparia Train No. 8, 12:55 PM same day, No. 5 leaving Lewiston 6:50 PM also August 4th and No. 6 leaving Riparia 5:00 AM August 5th. Please note well that the first trip of No. 6 from Riparia will be August 5th. Sale of Tickets may be resumed accordingly. The Tri-weekly Portland-Lewiston sleeper will again be operated between Portland and Lewiston, with first trip leaving Portland Train No. 12, Thursday, August 5th, returning Leaving Lewiston, Friday, August 6th. Issued by WM. McMurray, General passenger Agent. Binder Index No. 8. 1 Page.",1920-08-02,R. E. Hanrahan,Union Pacific System,,,,,,bulletins; amendments (administrative records),Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrbulletin103-1920,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrbulletin103-1920.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrbulletin103-1920_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrbulletin103-1920_th.jpg"
cprr004,cprrbulletin135-1920.pdf,"Union Pacific System Oregon-Washington Railroad & Navigation Company General Passenger Department. Bulletin NO. 135-1920. Changed in schedule Camas Prairie Train No. 5. Lewiston Idaho to Riparia Wash. Effective Sunday, October 24, 1920.","Union Pacific System Oregon-Washington Railroad & Navigation Company General Passenger Department. Bulletin NO. 135-1920. Changed in schedule Camas Prairie Train No. 5. Lewiston Idaho to Riparia Wash. Effective Sunday, October 24, 1920. Portland, Oregon, October 15, 1920. File 60-9-1. To All Agents: Effective Sunday, October 24, 1920, Camas Prarie train No. 5 will leave Lewiston, Idaho, at 7:20 PM instead of 6:50 PM, and will arrive Riparia, Washington, at 10:05 P. M. instead of 9:35 P. M. WM. McMurray, General Passenger Agent. Binder Index No. 9. 1 page.",1920-10-15,R. E. Hanrahan,Union Pacific System,,,,,,bulletins; amendments (administrative records),Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrbulletin135-1920,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrbulletin135-1920.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrbulletin135-1920_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrbulletin135-1920_th.jpg"
cprr005,cprrbulletin137-1920.pdf,"Union Pacific System Oregon-Washington Railroad & Navigation Company General Passenger Department. Bulletin NO. 137-1920. Change in schedule Camas Prairie Train No. 6 Riparia, Wash. To Lewiston, Idaho. Effective Sunday, October 24, 1920.","Union Pacific System Oregon-Washington Railroad & Navigation Company General Passenger Department. Bulletin NO. 137-1920. Change in schedule Camas Prairie Train No. 6 Riparia, Wash. To Lewiston, Idaho. Effective Sunday, October 24, 1920. Portland, Oregon, October 20, 1920 File 60-9-1. To All Agents: Effective Sunday, October 24, 1920, Camas Prairie train No. 6 will leave Riparia, Wash., at 4:40 A. M. instead of 5:00 A. M., and willarive Lewiston, Idaho at 7:10 A. M. Instead of 7:30 A. M. WM. McMurray, General Passenger Agent. Binder Index No. 9. 1 page.",1920-10-20,R. E. Hanrahan,Union Pacific System,,,,,,bulletins; amendments (administrative records),Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrbulletin137-1920,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrbulletin137-1920.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrbulletin137-1920_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrbulletin137-1920_th.jpg"
cprr006,cprrbulletin164-1925.pdf,"Union Pacific System Oregon-Washington Railroad & Navigation Company Department of Traffic Bulletin No. 164-1925. Change in train service between Riparia, Wash., Lewiston and Grangezille, Idaho Sunday, November 29, 1925. Portland, Oregon, 25 November 1925. File 60-9-1.","Union Pacific System Oregon-Washington Railroad & Navigation Company Department of Traffic Bulletin No. 164-1925. Change in train service between Riparia, Wash., Lewiston and Grangezille, Idaho Sunday, November 29, 1925. Portland, Oregon, 25 November 1925. File 60-9-1. To All Agents: Effective Sunday, November 29th, 1925, Motor No. 8 will leave Riparia, Washington at 12:30 PM instead of 1:00PM, arrive Lewiston, Idaho 3:10 PM instead of 3:40 om, and will make direct connection with passenger train No. 344 which will leave Lewiston at 3:15 PM. and arrive Grangeville at 7:10 PM. Passenger train No. 343 will leave Grangeville 7:40 AM, same as present, and arrive Lewiston at 11:10 AM instead of 11:25 AM. Wm. McMurray General Passenger Agent. 1 page.",1925-11-25,WM. McMurray,Union Pacific System,,,,,,bulletins; amendments (administrative records),Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrbulletin164-1925,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrbulletin164-1925.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrbulletin164-1925_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrbulletin164-1925_th.jpg"
cprr007,cprrcircular031.pdf,"Camas Prairie Railroad Company Circular No. 31 Lewiston, Idaho, April 25th, 1935.","Camas Prairie Railroad Company Circular No. 31 Lewiston, Idaho, April 25th, 1935. All Concerned: Effective Wednesday, May 1st, 1935 and until further notice, trains 343 and 344 will run on the following schedule:… These schedules confer no train rights. Are published for the information of the Post Office Department, Express Company and the public. 1 page.",1935-04-25,R. E. Hanrahan,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Craigmont, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Spalding, Idaho; North Lapwai, Idaho; Lewiston, Idaho",,,,Idaho County; Lewis County; Nez Perce County; Idaho County,transportation timetables; bulletins; amendments (administrative records),Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrcircular031,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrcircular031.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrcircular031_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrcircular031_th.jpg"
cprr008,cprrcircular035.pdf,"Camas Prairie Railroad Company Circular Lettter No. 35 Lewiston, Idaho, June 14th, 1934.","Camas Prairie Railroad Company Circular Lettter No. 35 Lewiston, Idaho, June 14th, 1934. All Concerned: Effective Friday, June 15th, 1934, and until further notice, trains 323 and 324 will run on the following schedules:… These schedules confer no train rights. They are published for the information of the Post Office Department, Express Company and traveling public. R. E. Hanrahan Manager. 1 page.",1934-06-14,R. E. Hanrahan,Camas Prairie Railroad Co.,"Stites, Idaho; Kooskia, Idaho; Kamiah, Idaho; Tramway, Idaho; Pardee, Idaho; Chapin, Idaho; Greer, Idaho; Penoyer, Idaho; Jordan, Idaho; Orofino, Idaho; Ahsahka, Idaho; Magill, Idaho; Peck, Idaho; Lenore, Idaho; Agatha, Idaho; Dolomite, Idaho; Cherrylane, Idaho; Myrtle, Idaho; Arrow, Idaho; Spalding, Idaho; North Lapwai, Idaho; Forebay, Idaho; East Lewiston, Idaho; Lewiston, Idaho",,,,Idaho County; Lewis County; Clearwater County; Nez Perce County,transportation timetables; bulletins; amendments (administrative records),Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrcircular035,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrcircular035.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrcircular035_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrcircular035_th.jpg"
cprr009,cprrcircular039.pdf,"Camas Prairie Railroad Company Circular Letter #39 Lewiston, Idaho, July 25, 1934.","Camas Prairie Railroad Company Circular Letter #39 Lewiston, Idaho, July 25, 1934. All Concerned: During the present intensive loading of wheat between Spalding and Grangeville, Nos. 343 and 344 will discontinue handling freight cars and will be operated on the following schedules efffective July 26th, 1934:... These schedules are for information of the Public and the Pos Office Department and do not confer any train rights. They will remain in effect during the life of Time Table No. 73 unless sooner terminated. R. E. Hanrahan Manager. 1 page.",1934-07-25,R. E. Hanrahan,Camas Prairie Railroad Co.,"Grangeville, Idaho; Fenn, Idaho; Cottonwood, Idaho; Ferdinand, Idaho; Craigmont, Idaho; Craig Junction, Idaho; Reubens, Idaho; Nucrag, Idaho; Culdesac, Idaho; Jacques, Idaho; Bundy, Idaho; Sweetwater, Idaho; Fort Lapwai, Idaho; Spalding, Idaho; North Lapwai, Idaho; Lewiston, Idaho",,,,Idaho County; Lewis County; Nez Perce County; Idaho County,transportation timetables; bulletins; amendments (administrative records),Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrcircular039,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrcircular039.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrcircular039_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrcircular039_th.jpg"
cprr010,cprrcircular051.pdf,"Camas Prairie Railroad Company Circular Letter No. 51 Lewiston, Idaho, November 15, 1934.","Camas Prairie Railroad Company Circular Letter No. 51 Lewiston, Idaho, November 15, 1934. All Concerned: Effective Friday, November 16, 1934, and until further notice, trains 323 and 324 will run on the following schedules:… These schedules confer no train rights. They are published for the information of the Post Office Department, Express Company and traveling public. 1 page.",1934-11-15,R. E. Hanrahan,Camas Prairie Railroad Co.,"Stites, Idaho; Kooskia, Idaho; Kamiah, Idaho; Tramway, Idaho; Pardee, Idaho; Chapin, Idaho; Greer, Idaho; Penoyer, Idaho; Jordan, Idaho; Orofino, Idaho; Ahsahka, Idaho; Magill, Idaho; Peck, Idaho; Lenore, Idaho; Agatha, Idaho; Dolomite, Idaho; Cherrylane, Idaho; Myrtle, Idaho; Arrow, Idaho; Spalding, Idaho; North Lapwai, Idaho; Forebay, Idaho; East Lewiston, Idaho; Lewiston, Idaho",,,,Idaho County; Lewis County; Clearwater County; Nez Perce County,transportation timetables; bulletins; amendments (administrative records),Camas Prairie Railroad Time Tables,"Camas Prairie Railroad Time Tables collection, 1909-1997, MG 202, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv121051,eng,cprrcircular051,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,Text,application/pdf,pdf,https://objects.lib.uidaho.edu/camasrailroad/cprrcircular051.pdf,https://objects.lib.uidaho.edu/camasrailroad/small/cprrcircular051_sm.jpg,"https://objects.lib.uidaho.edu/camasrailroad/thumbs/cprrcircular051_th.jpg"
