objectid,title,description,creator,date,subject,location,latitude,longitude,digital collection,collection,findingaid,rights,rightsstatement,format original,pages,identifier,type,format,language,cdm_url,cdmid,contentdm file name,contentdm file path file path,display_template,filename,object_location,image_small,image_thumb,errors
chatcolab0,Chatcolab 1949,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1949-05-11,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.375048,-116.763424,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,102,MG571_1949,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/0,0,1.pdf,/chatcolab/image/1.pdf,pdf,chatcolab0.pdf,https://objects.lib.uidaho.edu/chatcolab/chatcolab0.pdf,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab0_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab0_th.jpg,""
chatcolab1,Chatcolab 1958 - FriendSHIP,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1958-05-11,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.373658,-116.764046,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,190,MG571_1958,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/1,1,10.pdf,/chatcolab/image/10.pdf,pdf,chatcolab1.pdf,https://objects.lib.uidaho.edu/chatcolab/chatcolab1.pdf,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab1_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab1_th.jpg,""
chatcolab2,Chatcolab 1959 - Loggers Jamboree,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1959-05-10,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.37402,-116.767075,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,161,MG571_1959,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/2,2,11.pdf,/chatcolab/image/11.pdf,pdf,chatcolab2.pdf,https://objects.lib.uidaho.edu/chatcolab/chatcolab2.pdf,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab2_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab2_th.jpg,""
chatcolab3,Chatcolab 1960 - Discovery Days,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1960-05-15,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.375442,-116.764128,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,185,MG571_1960,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/3,3,12.pdf,/chatcolab/image/12.pdf,pdf,chatcolab3.pdf,https://objects.lib.uidaho.edu/chatcolab/chatcolab3.pdf,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab3_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab3_th.jpg,""
chatcolab4,Chatcolab 1961 - Within U.S. One World,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1961-05-08,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.372563,-116.766683,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,169,MG571_1961,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/4,4,13.pdf,/chatcolab/image/13.pdf,pdf,chatcolab4.pdf,https://objects.lib.uidaho.edu/chatcolab/chatcolab4.pdf,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab4_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab4_th.jpg,""
chatcolab5,Chatcolab 1962 - Bridges To-,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1962-05-13,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.374832,-116.761387,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,142,MG571_1962,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/5,5,14.pdf,/chatcolab/image/14.pdf,pdf,chatcolab5.pdf,https://objects.lib.uidaho.edu/chatcolab/chatcolab5.pdf,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab5_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab5_th.jpg,""
chatcolab6,Chatcolab 1963 - Expanding Orbits,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1963-05-12,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.375808,-116.765725,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,170,MG571_1963,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/6,6,15.pdf,/chatcolab/image/15.pdf,pdf,chatcolab6.pdf,https://objects.lib.uidaho.edu/chatcolab/chatcolab6.pdf,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab6_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab6_th.jpg,""
chatcolab7,Chatcolab 1964 - From These Seeds,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1964-05-10,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.371854,-116.764287,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,164,MG571_1964,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/7,7,16.pdf,/chatcolab/image/16.pdf,pdf,chatcolab7.pdf,https://objects.lib.uidaho.edu/chatcolab/chatcolab7.pdf,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab7_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab7_th.jpg,""
chatcolab8,Chatcolab 1965 - The Music of Friendship,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1965-05-09,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.374554,-116.764688,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,202,MG571_1965,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/8,8,17.pdf,/chatcolab/image/17.pdf,pdf,chatcolab8.pdf,https://objects.lib.uidaho.edu/chatcolab/chatcolab8.pdf,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab8_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab8_th.jpg,""
chatcolab9,Chatcolab 1966 - Chatcolab Has the Keys,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1966-05-08,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.374875,-116.768683,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,208,MG571_1966,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/9,9,18.pdf,/chatcolab/image/18.pdf,pdf,chatcolab9.pdf,https://objects.lib.uidaho.edu/chatcolab/chatcolab9.pdf,https://objects.lib.uidaho.edu/chatcolab/small/chatcolab9_sm.jpg,https://objects.lib.uidaho.edu/chatcolab/thumbs/chatcolab9_th.jpg,""
