objectid,title,creator,description,date,date is approximate?,subject,point of origin,destination,coverage,contributing institution,digital collection,finding aid,source,identifier,publisher digital,format original,format,type,digitization specifications,rights,rightsstatement,language,date digital,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,display_template,filename,object_location,image_small,image_thumb,errors
bunkerhill0,"Telegram from Frederick Burbidge to F.W. Bradley, July 1899","Burbidge, Frederick",Burbidge informs Bradley of Bunker Hill's annual tax assessments; handwritten.,1899-07,,taxes,United States;Idaho;Shoshone County;Wardner,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,https://archiveswest.orbiscascade.org/ark:80444/xv65328,"Bunker Hill Company records, 1887-1984, MG 367, University of Idaho Library Special Collections and Archives",MG367_85_001,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2012,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/0,0,1.pdf,/bunkerhill/image/1.pdf,pdf,bunkerhill0.pdf,https://objects.lib.uidaho.edu/bunkerhill/bunkerhill0.pdf,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill0_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill0_th.jpg,
bunkerhill1,"Letter from Frederick Burbidge to F.W. Bradley, July 14, 1899","Burbidge, Frederick",Burbidge reports on the status of several ore contracts.,1899-07-14,,contracts; ore deposits,United States;Idaho;Shoshone County;Wardner,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,https://archiveswest.orbiscascade.org/ark:80444/xv65328,"Bunker Hill Company records, 1887-1984, MG 367, University of Idaho Library Special Collections and Archives",MG367_85_010,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2012,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/1,1,10.pdf,/bunkerhill/image/10.pdf,pdf,bunkerhill1.pdf,https://objects.lib.uidaho.edu/bunkerhill/bunkerhill1.pdf,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill1_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill1_th.jpg,
bunkerhill2,"Telegram from F.W. Bradley to Alex Granger, June 08, 1899","Bradley, F.W.",A telegram concerning proxies and uncertainty of travel plans.,1899-06-08,,proxies; travel,United States;Washington;Spokane County;Spokane,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,https://archiveswest.orbiscascade.org/ark:80444/xv65328,"Bunker Hill Company records, 1887-1984, MG 367, University of Idaho Library Special Collections and Archives",MG367_84_073,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2012,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/2,2,100.pdf,/bunkerhill/image/100.pdf,pdf,bunkerhill2.pdf,https://objects.lib.uidaho.edu/bunkerhill/bunkerhill2.pdf,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill2_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill2_th.jpg,
bunkerhill3,"Letter from Frederick Burbidge to F.W. Bradley, June 23, 1899","Burbidge, Frederick",Burbidge explains his recent telegram.,1899-06-23,,travel,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,https://archiveswest.orbiscascade.org/ark:80444/xv65328,"Bunker Hill Company records, 1887-1984, MG 367, University of Idaho Library Special Collections and Archives",MG367_84_094,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2012,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/3,3,101.pdf,/bunkerhill/image/101.pdf,pdf,bunkerhill3.pdf,https://objects.lib.uidaho.edu/bunkerhill/bunkerhill3.pdf,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill3_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill3_th.jpg,
bunkerhill4,"Letter from Frederick Burbidge to Alexander Granger, June 23, 1899","Burbidge, Frederick",Burbidge requests that Granger bill American Smelting & Refining Co. Globe Plant.,1899-06-23,,invoices,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,https://archiveswest.orbiscascade.org/ark:80444/xv65328,"Bunker Hill Company records, 1887-1984, MG 367, University of Idaho Library Special Collections and Archives",MG367_84_095,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2012,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/4,4,102.pdf,/bunkerhill/image/102.pdf,pdf,bunkerhill4.pdf,https://objects.lib.uidaho.edu/bunkerhill/bunkerhill4.pdf,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill4_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill4_th.jpg,
bunkerhill5,"Letter from Frederick Burbidge to F.W. Bradley, June 24, 1899","Burbidge, Frederick",Burbidge explains where crude ore will be shipped.,1899-06-24,,ore; freight,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,https://archiveswest.orbiscascade.org/ark:80444/xv65328,"Bunker Hill Company records, 1887-1984, MG 367, University of Idaho Library Special Collections and Archives",MG367_84_096,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2012,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/5,5,103.pdf,/bunkerhill/image/103.pdf,pdf,bunkerhill5.pdf,https://objects.lib.uidaho.edu/bunkerhill/bunkerhill5.pdf,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill5_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill5_th.jpg,
bunkerhill6,"Letter from Frederick Burbidge to F.W. Bradley, June 25, 1899 [01]","Burbidge, Frederick",Burbidge informs Bradley on a restraining order.,1899-06-25,,legal disputes; travel,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,https://archiveswest.orbiscascade.org/ark:80444/xv65328,"Bunker Hill Company records, 1887-1984, MG 367, University of Idaho Library Special Collections and Archives",MG367_84_097,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2012,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/6,6,104.pdf,/bunkerhill/image/104.pdf,pdf,bunkerhill6.pdf,https://objects.lib.uidaho.edu/bunkerhill/bunkerhill6.pdf,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill6_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill6_th.jpg,
bunkerhill7,"Letter from Frederick Burbidge to F.W. Bradley, June 25, 1899 [02]","Burbidge, Frederick",Burbidge informs Bradley on the status of construction.,1899-06-25,,construction,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,https://archiveswest.orbiscascade.org/ark:80444/xv65328,"Bunker Hill Company records, 1887-1984, MG 367, University of Idaho Library Special Collections and Archives",MG367_84_098,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2012,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/7,7,105.pdf,/bunkerhill/image/105.pdf,pdf,bunkerhill7.pdf,https://objects.lib.uidaho.edu/bunkerhill/bunkerhill7.pdf,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill7_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill7_th.jpg,
bunkerhill8,"Letter from F.W. Bradley to Granger, June 18, 1899","Bradley, F.W.",Bradley tells Granger of his travel plans; handwritten.,1899-06-18,,travel,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,https://archiveswest.orbiscascade.org/ark:80444/xv65328,"Bunker Hill Company records, 1887-1984, MG 367, University of Idaho Library Special Collections and Archives",MG367_84_091,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2012,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/8,8,106.pdf,/bunkerhill/image/106.pdf,pdf,bunkerhill8.pdf,https://objects.lib.uidaho.edu/bunkerhill/bunkerhill8.pdf,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill8_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill8_th.jpg,
bunkerhill9,"Letter from Frederick Burbidge to F.W. Bradley, June 26, 1899 [01]","Burbidge, Frederick","Burbidge informs on the status and location of a mine; handwritten, 2 pages.",1899-06-26,,mining claims; land use,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,https://archiveswest.orbiscascade.org/ark:80444/xv65328,"Bunker Hill Company records, 1887-1984, MG 367, University of Idaho Library Special Collections and Archives",MG367_84_099,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2012,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/9,9,107.pdf,/bunkerhill/image/107.pdf,pdf,bunkerhill9.pdf,https://objects.lib.uidaho.edu/bunkerhill/bunkerhill9.pdf,https://objects.lib.uidaho.edu/bunkerhill/small/bunkerhill9_sm.jpg,https://objects.lib.uidaho.edu/bunkerhill/thumbs/bunkerhill9_th.jpg,
