title,description,creator,date,contributors,subject,keywords-theme,keywords-tree,location,region,project,publisher,digital collection,holding institution,source,identifier,doi,rightsstatement,rights,project material,type,format,language,date digital,digital specifications,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb
IFTNC - 5th Annual Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",James A. Moore,1985-04,James Moore (Director),Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Moore, J.A., 1985. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 5th Annual Report, University of Idaho, Moscow, Idaho, 42p.","1985_Intermountain Forest Tree Nutrition Cooperative. Fifth Annual Report. FWR, Univ. of Idaho. 40p..pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3316,3316,iftnc3316,pdf,iftnc3316.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3316.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3316_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3316_th.jpg
IFTNC - 5th Annual Meeting Presentations,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",IFTNC,1985-04,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"IFTNC, 1985. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 5th Annual Meeting Presentations, University of Idaho, Moscow, Idaho, 135p.","1985_IFTNC. 1985. Presentations given at the Annual Meeting of the IFTNC. FWR, Univ. of Idaho, Moscow.pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3317,3317,iftnc3317,pdf,iftnc3317.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3317.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3317_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3317_th.jpg
IFTNC - 6th Annual Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",James A. Moore,1986-04,James Moore (Director),Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Moore, J.A., 1986. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 6th Annual Report, University of Idaho, Moscow, Idaho, 45p.","1986_IFTNC. 1986. Sixth Annual Report. FWR, Univ. of Idaho, Moscow.pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3318,3318,iftnc3318,pdf,iftnc3318.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3318.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3318_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3318_th.jpg
IFTNC - 7th Annual Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",James A. Moore,1987-04,James Moore (Director),Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Moore, J.A., 1987. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 4th Annual Report, University of Idaho, Moscow, Idaho, 43p.",1987_Mika_7th IFTNC annual report.pdf,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3319,3319,iftnc3319,pdf,iftnc3319.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3319.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3319_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3319_th.jpg
IFTNC - Workshop for Member Organizations,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",IFTNC,1988-04,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"IFTNC, 1988. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, Workshp for Member Organizations, University Inn: Best Western of Idaho, Moscow, Idaho, 143p.","1988_IFTNC. 1988. IFTNC; A Workshop for Member Organizations. FWR, Univ. of Idaho, Moscow.pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3320,3320,iftnc3320,pdf,iftnc3320.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3320.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3320_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3320_th.jpg
IFTNC - 9th Annual Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",James A. Moore,1989-04,James A. Moore (Director),Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Moore, J.A., 1989. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 9th Annual Report, University of Idaho, Moscow, Idaho, 47p.",1989_ IFTNC 9th Annual report UI Moscow.pdf,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3321,3321,iftnc3321,pdf,iftnc3321.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3321.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3321_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3321_th.jpg
IFTNC - 9th Annual Report Addendum,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",IFTNC,1989-07,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"IFTNC, 1989. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 9th Annual Report Addendum University of Idaho, Moscow, Idaho, 62p.",1989_ Addndm_9th_anul_ rpt .pdf,,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3322,3322,iftnc3322,pdf,iftnc3322.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3322.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3322_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3322_th.jpg
IFTNC - 10th Annual Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",James A. Moore,1990-04,James Moore (Director),Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Moore, J.A., 1990. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 4th Annual Report, University of Idaho, Moscow, Idaho, 84p.","1990_IFTNC. 1990. Tenth Annual Report. FWR, Univ. of Idaho, Moscow..pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3323,3323,iftnc3323,pdf,iftnc3323.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3323.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3323_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3323_th.jpg
IFTNC - 11th Annual Report,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",IFTNC,1991-04,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"Moore, J.A., 1991. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 11th Annual Report, University of Idaho, Moscow, Idaho, 67p.","1991_IFTNC. 1991. Eleventh Annual Report. FWR, Univ. of Idaho. Moscow, Idaho..pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3324,3324,iftnc3324,pdf,iftnc3324.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3324.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3324_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3324_th.jpg
IFTNC - 12th Annual Report - Part I,"Forest fertilization for enhancing tree growth and improving the value of harvested timber has been an effective silvicultural practice in the Inland Northwest forests. Early large scale study trials were installed in 1980, 1981 and 1982 to study the effects of nitrogen fertilization on forest nutrition, growth and survival of second-growth, even-aged Rocky Mountain Douglas-fir. A total of 98 research sites located across six ecologically diverse geographic regions throughout the Intermountain Northwest were respectively monitored for twelve, fourteen and sixteen years after establishment. Subsequent evidence from the Douglas-fir trials suggested that elements other than nitrogen, particularly potassium, may be limiting on some forest site types and may have significant influence on forest health. In response, a subset of the original trials was retreated in 1987 and 1988 with nitrogen and/or nitrogen plus potassium treatments. Technical and refereed documents include initial establishment and growth responses. Additional documentation is also presented for the 1987 and 1988 retreatment.",IFTNC,1992-04,IFTNC,Forest Nutrition; Forest Fertilization; Forest soils; Douglas-fir Growth Response; Nutrient cycles; Forest ecology; Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Forest Fertilization; Conifer; Pesudotsuga menziesii; Douglas-fir; Forest Nutrition,Conifer; Douglas-fir,North and Central Idaho; Eastern Washington; Western Montana; Northeastern Oregon,"Intermountain West, USA",Intermountain Forest Fertilization,"Intermountain Forest Tree Nutrition Cooperative, University of Idaho, College of Forest, Wildlife and Range Sciences, Moscow",Intermountain Forest Tree Nutrition Cooperative (IFTNC) Collection,University of Idaho,"IFTNC, 1992. Intermountain Forest Tree Nutrition Cooperative, Research Study - Douglas-fir Forest Fertilization and Growth Response, 12th Annual Report: Part I University of Idaho, Moscow, Idaho, 16p.","1992_IFTNC. 1992. Twelfth Annual Report Part I, Ponderosa Pine Response , FWR, Univ. of Idaho, Moscow..pdf",,http://rightsstatements.org/vocab/InC-EDU/1.0/,"This document is provided by the University of Idaho Library for use by University of Idaho students, staff, and faculty. All rights to the document linked from this metadata belong to the author, rights holder, and/or provider. For more information contact The Intermountain Forestry Cooperative, https://www.uidaho.edu/cnr/ifc",Text,Text,application/pdf,eng,2011,Orginal paper copy scanned and combined into a .pdf by IFTNC,http://digital.lib.uidaho.edu:80/cdm/ref/collection/iftnc/id/3325,3325,iftnc3325,pdf,iftnc3325.pdf,https://objects.lib.uidaho.edu/iftnc/iftnc3325.pdf,https://objects.lib.uidaho.edu/iftnc/small/iftnc3325_sm.jpg,https://objects.lib.uidaho.edu/iftnc/thumbs/iftnc3325_th.jpg
