objectid,title,creator,date,document_type,description,subject,uief_unit,location,latitude,longitude,section,township,range,stand_number,publisher,department,source,catalog_link,call_number,identifier,rights,rightsstatement,type,format,language,notes,filename,display_template,object_location,image_small,image_thumb
uief_0003,1994 Inventory of Ponderosa Pine Thinnings,DCS,1994-07-12,Research,Materials related to ongoing thinning study with images and detailed descriptions of the study plots.,Big Meadow Creek; ponderosa pine; thinning; silviculture; Palouse; plantation; growth response; silviculture,Big Meadow Creek,Big Meadow Creek Recreation Area; UIEF,46.783822,-116.796677,NE 1/4 S26,T40N,R4W,,,Department of Forest Resources,,,,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,Related to objects 004 and 005,uief_0003.pdf,pdf,https://objects.lib.uidaho.edu/uief/uief_0003.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0003_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0003_th.jpg
uief_0004,Thinning Increases Growth in Young Ponderosa Pine Plantations of the Palouse Range,"Adams, David L.; Hanley, Donald P.",1976-11,Research Article,"Trees on plots established in a ponderosa pine plantation, planted between 1941 and 1943, were low-thinned and pruned between 1959 and 1964. Diameter and height measurements were taken at five-year intervals after the thinning, the most recent having taken place in 1974. Growth responses were recorded within the study.",Big Meadow Creek; ponderosa pine; thinning; silviculture; Palouse; plantation; growth response; Station Note; silviculture,Big Meadow Creek,Big Meadow Creek Recreation Area; UIEF,46.783822,-116.796677,NE 1/4 S26,T40N,R4W,,"Forest, Wildlife and Range Experiment Station, University of Idaho",Department of Forest Resources,"Station Note No. 26, Forest, Wildlife and Range Experiment Station, University of Idaho",,,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0004.pdf,pdf,https://objects.lib.uidaho.edu/uief/uief_0004.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0004_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0004_th.jpg
uief_0005,Response from Thinning Ponderosa Pine Plantations in Northern Idaho,"Adams, David L.; Osborne, Harold L.; Hanley, Donald P.; Messat, Said",1990-03,Research Article,"Trees on plots established in a ponderosa pine plantation, planted between 1941 and 1943, were low-thinned and pruned between 1959 and 1964 and 1975. Control plots were used to compare unmanaged growth with results in thinned stands.",Big Meadow Creek; ponderosa pine; thinning; silviculture; Palouse; plantation; growth response; Station Note; silviculture,Big Meadow Creek,Big Meadow Creek Recreation Area; UIEF,46.783822,-116.796677,NE 1/4 S26,T40N,R4W,,"Forest, Wildlife and Range Experiment Station, University of Idaho",Department of Forest Resources,"Station Note No. 40, Forest, Wildlife and Range Experiment Station, University of Idaho",,,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0005.pdf,pdf,https://objects.lib.uidaho.edu/uief/uief_0005.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0005_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0005_th.jpg
uief_0006,Seed Wafer Research at the University of Idaho: A Ten-Year Summary,"Adams, David L.; Dirks, Carl E.; Powell, Luke P.",1990-05,Research Report,"Summary of research regarding encapsulation of conifer seed at the University of Idaho as an alternate to direct seeding and planting of seedlings, specifically using ""seed wafers.""",seed wafers; encapsulation; regeneration; planting; Clearwater National Forest; germination; Crowsnest Forest Products; Weyeraeuser; Boise Cascade Corporation; rodent barriers; Methocel; forest regeneration,UIEF,"UIEF; Clearwater National Forest; Boise, ID; Cascade, ID; Various",,,,,,,"Forest, Wildlife and Range Experiment Station, University of Idaho",Department of Forest Resources,"Technical Report No. 21, Forest, Wildlife and Range Experiment Station, University of Idaho",https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma9957834901851,SD12.I2U37 no.21,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0006.pdf,pdf,https://objects.lib.uidaho.edu/uief/uief_0006.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0006_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0006_th.jpg
uief_0007,Site Impacts for Three Inexpensive Cable Yarders,"Bellitto, Michael W.",1985-08,Thesis,"This study investigated,the site impacts of three types of inexpensive cable yarders. A Koller Model K-300 with intermediate support capability and a hydraulically clamping' carriage and a shop built, two-drum Idaho jammer rigged both as a ground lead with a squirrel block and as a live skyline with a nonclamping mechanical carriage were observed on three strip clearcuts and one shelterwood on two silt loam soils in northern Idaho. Change in soil bulk density, exposed mineral soil, residual slash, and residual damage to leave trees were recorded. Changes in soil bulk density for a crane mounted, single-drum jammer operating in the Idaho batholith near Smith's Ferry, Idaho were also recorded. Amount and distribution of soil disturbance and residual slash were determined and compared for the-systems. Number of damaged leave trees and type of damage were recorded in the 'shelterwood harvest.",Yarder; Koller Model K-300; Idaho Jammer; soil compaction; Flat Creek; bulk density; exposed mineral soil; residual slash; leave tree damage; silt loam; North Idaho; cable yarder; soil disturbance; skyline; ground lead; cable logging history; forest operations,Flat Creek,Flat Creek; UIEF,46.851013,-116.724478,,,,,,Department of Forest Resources,,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma9948933301851,SD388.B45 1985,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0007.pdf,pdf,https://objects.lib.uidaho.edu/uief/uief_0007.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0007_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0007_th.jpg
uief_0008,Recovery of Logging Residue Using a Tractor Mounted Skidding Winch,"Biltonen, Thomas",1994-04,Thesis,"A farm tractor with the addition of a skidding winch can be a useful piece of machinery for the nonindustrial private forest landowner. This study looks at the feasibility, productivity costs of using this type of equipment in five different applications: 1. Slash pile recovery of logging residue 2. In-woods recovery of logging residue 3. Precommercial thinning residue recovery 4. Sawlog recovery 5. Hazard reduction of precommercial thinning.",Flat Creek; West Hatter Creek; East Hatter Creek; tractor skidding; logging residue; productivity costs; skidding winch; forest operations,Flat Creek; West Hatter Creek; East Hatter Creek,Flat Creek; West Hatter Creek; East Hatter Creek; UIEF,46.851013,-116.724478,,,,,,Department of Forest Resources,,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma9951924001851,SD544.B55 1994,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0008.pdf,pdf_preview,https://objects.lib.uidaho.edu/uief/uief_0008.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0008_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0008_th.jpg
uief_0009,Evaluating Soil Compaction on Uncontrolled Tractor Logged Skid Trails by the Rubber Balloon Method of Bulk Density Measurement,"Bloch, Vaiden E.",1985-05-27,Thesis,Conclusion of a study investigating soil compaction due to uncontrolled tractor logging.,Flat Creek; soil compaction; tractor logging; rubber balloon method; volumetric bulk density measurement; forest operations,Flat Creek,Flat Creek; UIEF,46.851013,-116.724478,NE 1/4 S 1/2 S32,T41N,R3W,,,Department of Forest Resources,,,,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0009.pdf,pdf_preview,https://objects.lib.uidaho.edu/uief/uief_0009.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0009_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0009_th.jpg
uief_0010,Cost Implications of Managing a Deck for a Small Straight Tower Yarder,"Fabricius, Jon M.",1986-05,Thesis,"Study investigating cost implications of numerous landing clearing options in terms of turn time, machine cost, and turn volumes tested.",Flat Creek; logging costs; hot decking; cold decking; loader; cable yarding; tower yarder; Koller Model K-300; hydraulic carriage; forest operations,Flat Creek,Flat Creek; UIEF,46.851013,-116.724478,,,,,,Department of Forest Resources,,,,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0010.pdf,pdf,https://objects.lib.uidaho.edu/uief/uief_0010.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0010_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0010_th.jpg
uief_0011,Cost Implications of Managing a Deck for a Small Straight Tower Yarder,"Fabricius, Jon M.",1986-05,Thesis,"A Koller Model K-300 yardar was operated on several cut units of the University of Idaho Experimental Forest. Operations pointed to the excellent yarding capabilities of the machine but also demonstrated a significant problem in managing and controlling the yarder deck. Delay times associated with management of the deck and movement of the yarder out of the way for loading represented a substantial portion of the operating day. A breakeven approach vas used to compare the cost of operations vith these delays with the cost of using a hot-loader or sving skidder to move material away from the deck. Breakeven values on the hourly rate that could .be paid for a loadu or swing skidder were surprisingly high. These results indicate that in many cases, use of an additional machine may be more cost effective than struggling with the deck manually.",Flat Creek; logging costs; hot decking; cold decking; loader; cable yarding; tower yarder; Koller Model K-300; hydraulic carriage; forest operations,Flat Creek,Flat Creek; UIEF,46.851013,-116.724478,,,,,,Department of Forest Resources,,,,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0011.pdf,pdf,https://objects.lib.uidaho.edu/uief/uief_0011.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0011_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0011_th.jpg
uief_0012,Design and Results of a Study Concerning Felling and Bucking Errors,"Gregory, Larry C.",1986-05,Thesis,"Felling and bucking errors associated with timber harvesting operations have resulted in substantial dollar losses to logging operators. This thesis describes an attempt to quantify these losses and the effect of training upon the reduction of these losses. Three manuscripts are presented, each dealing with one aspect of the research. The first manuscript describes the computer model used to analyze the data and its structure on the University of Idaho’s IBM 1431 computer. The original model, developed by the U.S.F.S., is known as “Felling & Bucking Activity (FAB)”. This manuscript provides data input procedures and explains model output. A sample terminal session, using existing data files, is described in detail. The second manuscript quantifies the losses incurred in this study and the results of logger training upon reducing these losses. The University of Idaho’s Experimental Forest Logging Crew was studied and losses associated with felling and bucking errors “before training” and “after training” are presented. The third manuscript describes study design and sampling procedures used in this study. These procedures are contrasted to the “normal” approach used in felling and was statistically designed; a unique approach used in felling and bucking studies. Analysis of the results reveals that the “normal “ approach may not be accurate enough to base predictions of felling and bucking loss upon.",felling; bucking; felling and bucking errors; logging training; felling and bucking activity; FAB; logger training; forest operations,UIEF,UIEF,46.869607,-116.733856,,,,,,Department of Forest Resources,,https://alliance-uidaho.primo.exlibrisgroup.com/permalink/01ALLIANCE_UID/2vsn7u/alma9937602301851,SD381.5.G7 1986,,"In copyright, educational use permitted.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,uief_0012.pdf,pdf_preview,https://objects.lib.uidaho.edu/uief/uief_0012.pdf,https://objects.lib.uidaho.edu/uief/small/uief_0012_sm.jpg,https://objects.lib.uidaho.edu/uief/thumbs/uief_0012_th.jpg
